question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,topic,source
Quel problème peut apparaître si on réutilise le même nom de variable dans un bloc ?,On peut masquer ou rendre le code moins clair,Ruby crée une erreur systématique,La variable devient globale,Le bloc cesse d'exister,Ruby,hard,ruby_variables_types,Web Dev & IA Quiz
Quel choix décrit le mieux le typage de Ruby ?,Dynamique,Statique obligatoire,Typage HTML,Typage SQL uniquement,Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Quelle méthode met une chaîne Ruby en majuscules ?,upcase,uppercase,toUpperCase,capitalize_all,Ruby,easy,ruby_strings,Web Dev & IA Quiz
Quelle méthode met une chaîne Ruby en minuscules ?,downcase,lowercase,toLowerCase,smallcase,Ruby,easy,ruby_strings,Web Dev & IA Quiz
Quelle méthode met seulement la première lettre en majuscule ?,capitalize,title,upper_first,first_up,Ruby,easy,ruby_strings,Web Dev & IA Quiz
Quelle méthode supprime les espaces au début et à la fin d'une chaîne ?,strip,trim,clean,remove_space,Ruby,easy,ruby_strings,Web Dev & IA Quiz
Quelle méthode retourne le nombre de caractères d'une chaîne ?,length,count_chars,strlen,size_of_text,Ruby,easy,ruby_strings,Web Dev & IA Quiz
Quelle syntaxe permet l'interpolation dans une chaîne Ruby ?,"""Bonjour #{name}""",'Bonjour ${name}',"""Bonjour {{name}}""",`Bonjour %name%`,Ruby,easy,ruby_strings,Web Dev & IA Quiz
Quelle méthode vérifie si une chaîne contient un morceau de texte ?,include?,contains,has_text?,inside?,Ruby,medium,ruby_strings,Web Dev & IA Quiz
"Que retourne ""ruby"".reverse ?","""ybur""","""ruby""","""RUBY""",Une erreur,Ruby,medium,ruby_strings,Web Dev & IA Quiz
"Que retourne ""a,b,c"".split("","") ?","[""a"", ""b"", ""c""]","""abc""","[""a,b,c""]","{""a""=>""b""}",Ruby,medium,ruby_strings,Web Dev & IA Quiz
"Que fait ""hello"".gsub(""l"", ""r"") ?",Remplace les l par des r,Supprime tous les r,Met la chaîne en majuscules,Découpe la chaîne,Ruby,medium,ruby_strings,Web Dev & IA Quiz
Quelle méthode transforme une chaîne en entier quand c'est possible ?,to_i,to_int!,integer,parse_int,Ruby,medium,ruby_strings,Web Dev & IA Quiz
"Que retourne ""42"".to_i ?",42,"""42""",4.2,Une erreur,Ruby,medium,ruby_strings,Web Dev & IA Quiz
Quelle méthode permet de tester si une chaîne est vide ?,empty?,blank,nil? only,zero?,Ruby,medium,ruby_strings,Web Dev & IA Quiz
Quelle différence existe entre guillemets simples et doubles en Ruby ?,Les doubles permettent l'interpolation,Les simples sont toujours plus rapides et obligatoires,Les doubles empêchent les variables,Il n'y a jamais aucune différence,Ruby,hard,ruby_strings,Web Dev & IA Quiz
"Que retourne ""abc""[0] en Ruby moderne ?","""a""",97,"""abc""",nil,Ruby,hard,ruby_strings,Web Dev & IA Quiz
Pourquoi utiliser chomp sur une ligne lue depuis un fichier ?,Pour retirer le retour à la ligne final,Pour mettre en majuscules,Pour convertir en tableau,Pour supprimer les espaces internes,Ruby,medium,ruby_strings,Web Dev & IA Quiz
Que fait la méthode start_with? ?,Elle teste le début d'une chaîne,Elle ajoute un préfixe,Elle supprime le premier caractère,Elle trie une chaîne,Ruby,medium,ruby_strings,Web Dev & IA Quiz
Que fait la méthode end_with? ?,Elle teste la fin d'une chaîne,Elle ajoute un suffixe,Elle supprime le dernier caractère,Elle inverse le texte,Ruby,medium,ruby_strings,Web Dev & IA Quiz
Quel est l'intérêt de frozen_string_literal dans certains fichiers Ruby ?,Éviter certaines allocations et modifications de chaînes,Forcer toutes les chaînes en majuscules,Transformer les chaînes en symboles,Supprimer les chaînes vides,Ruby,hard,ruby_strings,Web Dev & IA Quiz
Pourquoi éviter de concaténer beaucoup de chaînes dans une grande boucle sans réfléchir ?,Cela peut créer beaucoup d'objets intermédiaires,Ruby interdit la concaténation,Les chaînes deviennent des Hash,La boucle devient SQL,Ruby,hard,ruby_strings,Web Dev & IA Quiz
Quelle syntaxe crée un tableau vide en Ruby ?,[],{},(),<>,Ruby,easy,ruby_arrays,Web Dev & IA Quiz
Quel index correspond au premier élément d'un tableau Ruby ?,0,1,-1,first,Ruby,easy,ruby_arrays,Web Dev & IA Quiz
Quelle méthode ajoute un élément à la fin d'un tableau ?,push,pop,shift,first,Ruby,easy,ruby_arrays,Web Dev & IA Quiz
Quelle méthode retire le dernier élément d'un tableau ?,pop,push,unshift,map,Ruby,easy,ruby_arrays,Web Dev & IA Quiz
Quelle méthode retourne le premier élément d'un tableau ?,first,head,start,zero,Ruby,easy,ruby_arrays,Web Dev & IA Quiz
Quelle méthode retourne le dernier élément d'un tableau ?,last,tail,end,final,Ruby,easy,ruby_arrays,Web Dev & IA Quiz
"Que retourne [1, 2, 3].length ?",3,2,1,[3],Ruby,easy,ruby_arrays,Web Dev & IA Quiz
Quelle méthode inverse l'ordre des éléments d'un tableau ?,reverse,sort,shuffle,flip_all,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
Quelle méthode trie un tableau ?,sort,order,rank,arrange,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
Quelle méthode mélange aléatoirement un tableau ?,shuffle,randomize,mix,sort_random,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
"Que retourne [1, 2, 3].include?(2) ?",true,false,2,nil,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
Quelle méthode supprime les valeurs nil d'un tableau ?,compact,clean,strip,reject_nil! always,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
Quelle méthode aplatit un tableau imbriqué ?,flatten,flat,merge_all,unarray,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
"Que fait [1, 2] + [3, 4] ?","Retourne [1, 2, 3, 4]","Retourne [4, 6]",Modifie toujours le premier tableau,Provoque une erreur,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
Quelle méthode retourne un nouvel Array sans modifier l'original dans la plupart des cas ?,map,map!,push,pop,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
Quelle différence existe entre map et map! ?,map! modifie le tableau original,map ne retourne rien,map! crée toujours une copie,Les deux sont identiques,Ruby,hard,ruby_arrays,Web Dev & IA Quiz
Pourquoi utiliser each_with_index ?,Pour parcourir avec l'élément et son index,Pour trier avec un index SQL,Pour supprimer les doublons,Pour fusionner deux tableaux,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
"Que retourne [1, 2, 3].sample ?",Un élément aléatoire du tableau,Toujours le premier élément,Toujours un tableau vide,La taille du tableau,Ruby,medium,ruby_arrays,Web Dev & IA Quiz
Quel risque existe avec array[10] si le tableau est plus court ?,Cela retourne nil,Cela lève toujours une erreur,Cela crée les éléments manquants,Cela retourne le dernier élément,Ruby,hard,ruby_arrays,Web Dev & IA Quiz
Pourquoi éviter de modifier un tableau pendant qu'on l'itère dans certains cas ?,Cela peut rendre le comportement difficile à prévoir,Ruby l'interdit toujours,Cela transforme le tableau en Hash,Cela lance Git,Ruby,hard,ruby_arrays,Web Dev & IA Quiz
Quelle syntaxe crée un Hash vide en Ruby ?,{},[],(),<>,Ruby,easy,ruby_hashes_symbols,Web Dev & IA Quiz
Quel type de structure associe des clés à des valeurs ?,Hash,Array,String,Range,Ruby,easy,ruby_hashes_symbols,Web Dev & IA Quiz
Comment accéder à la valeur associée à :name dans un Hash nommé user ?,user[:name],user.name,user->name,user(name),Ruby,easy,ruby_hashes_symbols,Web Dev & IA Quiz
Quelle méthode retourne toutes les clés d'un Hash ?,keys,indexes,labels,headers,Ruby,easy,ruby_hashes_symbols,Web Dev & IA Quiz
Quelle méthode retourne toutes les valeurs d'un Hash ?,values,items,contents,entries_only,Ruby,easy,ruby_hashes_symbols,Web Dev & IA Quiz
Quelle syntaxe de clé symbole est courante dans un Hash Ruby moderne ?,"{ name: ""Alice"" }","{ :name => ""Alice"" } uniquement","{ name = ""Alice"" }","{ name -> ""Alice"" }",Ruby,easy,ruby_hashes_symbols,Web Dev & IA Quiz
"Quelle différence existe entre :name et ""name"" comme clés ?",Ce sont deux clés différentes,Ruby les fusionne toujours,La chaîne est interdite,Le symbole est converti en SQL,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
Quelle méthode vérifie si une clé existe dans un Hash ?,key?,has?,include_value?,exists_key,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
Quelle méthode vérifie si une valeur existe dans un Hash ?,value?,has_value_key?,contains_value_only,inside?,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
"Que retourne {a: 1, b: 2}.keys ?","[:a, :b]","[1, 2]","{""a"", ""b""}",[:keys],Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
"Que retourne {a: 1, b: 2}.values ?","[1, 2]","[:a, :b]",{:values=>2},Une erreur,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
Quelle méthode fusionne deux Hashes ?,merge,join,concat,combine! only,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
Quelle méthode parcourt chaque paire clé-valeur ?,each,map_keys_only,for_hash,loop_pair,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
Pourquoi les symboles sont-ils souvent utilisés comme clés ?,Ils sont lisibles et adaptés aux identifiants stables,Ils sont toujours plus longs,Ils changent à chaque appel,Ils remplacent les classes,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
Que peut retourner hash[:unknown] si la clé n'existe pas ?,nil,false obligatoirement,Une chaîne vide,0,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
Quel est l'intérêt de fetch par rapport à [] sur un Hash ?,fetch peut lever une erreur ou fournir une valeur par défaut,fetch supprime la clé,fetch transforme le Hash en Array,fetch trie les clés,Ruby,hard,ruby_hashes_symbols,Web Dev & IA Quiz
Que fait transform_keys ?,Transforme les clés d'un Hash,Transforme les valeurs seulement,Supprime toutes les clés,Convertit en JSON uniquement,Ruby,hard,ruby_hashes_symbols,Web Dev & IA Quiz
Que fait transform_values ?,Transforme les valeurs d'un Hash,Transforme les clés seulement,Vide le Hash,Trie par clé,Ruby,hard,ruby_hashes_symbols,Web Dev & IA Quiz
Pourquoi éviter de mélanger clés String et Symbol sans convention ?,Cela peut provoquer des accès manqués et du code confus,Ruby interdit ce mélange,Rails supprime les strings,Les symboles deviennent nil,Ruby,hard,ruby_hashes_symbols,Web Dev & IA Quiz
"Dans Rails, pourquoi rencontre-t-on souvent des Hashes avec symboles ?",Pour passer des options lisibles aux méthodes,Pour écrire du CSS,Pour remplacer les routes,Pour stocker des images,Ruby,medium,ruby_hashes_symbols,Web Dev & IA Quiz
Quel mot-clé définit une méthode Ruby ?,def,function,method,fn,Ruby,easy,ruby_methods_blocks,Web Dev & IA Quiz
Quel mot-clé termine une méthode Ruby ?,end,finish,close,stop,Ruby,easy,ruby_methods_blocks,Web Dev & IA Quiz
Que retourne une méthode Ruby si aucun return explicite n'est utilisé ?,La dernière expression évaluée,Toujours nil,Toujours true,Le nom de la méthode,Ruby,easy,ruby_methods_blocks,Web Dev & IA Quiz
Quel mot-clé permet de retourner explicitement une valeur ?,return,yield,break,next,Ruby,easy,ruby_methods_blocks,Web Dev & IA Quiz
Comment appelle-t-on une méthode greet sans argument ?,greet,call greet,greet[],run greet,Ruby,easy,ruby_methods_blocks,Web Dev & IA Quiz
Quelle syntaxe définit une méthode avec un argument name ?,def greet(name),function greet(name),method greet :name,def greet = name,Ruby,easy,ruby_methods_blocks,Web Dev & IA Quiz
Que permet un argument avec valeur par défaut ?,Appeler la méthode sans fournir cet argument,Interdire l'argument,Forcer une erreur,Transformer l'argument en Hash,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Quel mot-clé permet d'exécuter le bloc passé à une méthode ?,yield,block_run,call_block,return_block,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Que représente un bloc Ruby ?,Un morceau de code passé à une méthode,Une classe SQL,Un fichier CSS,Une variable globale,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Quelle syntaxe de bloc est courante sur une seule ligne ?,{ |x| x * 2 },do |x| x * 2 end uniquement,[x => x * 2],<% x %>,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Quelle syntaxe de bloc est courante sur plusieurs lignes ?,do ... end,begin ... stop,block ... close,start ... finish,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Pourquoi créer des méthodes courtes et nommées clairement ?,Pour rendre le code plus lisible et réutilisable,Pour ralentir Ruby,Pour éviter les variables,Pour supprimer les tests,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Quelle convention Ruby est utilisée pour une méthode booléenne ?,Terminer par ?,Commencer par is_ obligatoirement,Terminer par !,Utiliser une majuscule,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Quelle convention Ruby signale souvent une méthode plus dangereuse ou destructive ?,Terminer par !,Terminer par ?,Commencer par @,Utiliser des parenthèses vides,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Pourquoi éviter une méthode qui fait trop de choses ?,"Elle devient difficile à lire, tester et maintenir",Ruby interdit les longues méthodes,Elle devient automatiquement privée,Elle ne peut pas retourner de valeur,Ruby,hard,ruby_methods_blocks,Web Dev & IA Quiz
Que signifie l'arity d'une méthode ?,Le nombre d'arguments attendus,Le nombre de lignes du fichier,La vitesse d'exécution,Le nombre de classes,Ruby,hard,ruby_methods_blocks,Web Dev & IA Quiz
Quelle différence existe entre return et la dernière expression implicite ?,return sort explicitement de la méthode,La dernière expression arrête tout le programme,return est interdit en Ruby,Il n'y a aucune différence possible,Ruby,hard,ruby_methods_blocks,Web Dev & IA Quiz
Pourquoi nommer une méthode avec un verbe est souvent utile ?,Cela clarifie l'action effectuée,C'est obligatoire en Ruby,Cela rend la méthode publique,Cela évite les erreurs SQL,Ruby,medium,ruby_methods_blocks,Web Dev & IA Quiz
Quel risque existe avec trop d'arguments positionnels ?,L'appel devient difficile à comprendre,Ruby les refuse après deux arguments,Ils deviennent des variables globales,Ils changent l'encodage,Ruby,hard,ruby_methods_blocks,Web Dev & IA Quiz
Quelle alternative peut améliorer une méthode avec beaucoup d'options ?,Utiliser des keyword arguments,Utiliser uniquement des variables globales,Passer tout en String,Créer une constante par argument,Ruby,hard,ruby_methods_blocks,Web Dev & IA Quiz
Quelle méthode parcourt chaque élément d'une collection ?,each,loop_all,forEach,iterate!,Ruby,easy,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode retourne un nouveau tableau transformé ?,map,each,find,sort,Ruby,easy,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode garde les éléments qui respectent une condition ?,select,map,first,join,Ruby,easy,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode rejette les éléments qui respectent une condition ?,reject,select_out,remove_if_only,delete_when,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode trouve le premier élément correspondant ?,find,select,map,detect_all,Ruby,easy,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode vérifie si tous les éléments respectent une condition ?,all?,every,each?,full?,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode vérifie si au moins un élément respecte une condition ?,any?,some,one_or_more,has?,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode vérifie qu'aucun élément ne respecte une condition ?,none?,zero?,empty?,without?,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode transforme une collection en une seule valeur accumulée ?,reduce,map,select,compact,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode regroupe des éléments selon une clé calculée ?,group_by,sort_by,map_by,cluster,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode trie selon une valeur calculée ?,sort_by,order_by,rank_by,sort_with_key,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
"Que retourne [1,2,3].map { |n| n * 2 } ?","[2,4,6]","[1,2,3]",6,nil,Ruby,easy,ruby_enumerables,Web Dev & IA Quiz
"Que retourne [1,2,3].select { |n| n.odd? } ?","[1,3]",[2],true,"[1,2,3]",Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
"Que retourne [1,2,3].find { |n| n > 1 } ?",2,"[2,3]",true,nil,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
"Que retourne [1,2,3].all? { |n| n > 0 } ?",true,false,"[1,2,3]",nil,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
Quelle différence principale existe entre each et map ?,map retourne une collection transformée,each transforme toujours la collection,map ne prend pas de bloc,each retourne toujours nil,Ruby,hard,ruby_enumerables,Web Dev & IA Quiz
Pourquoi utiliser filter_map dans Ruby moderne ?,Pour filtrer et transformer en une seule étape,Pour trier une collection,Pour modifier une Hash key,Pour écrire dans un fichier,Ruby,hard,ruby_enumerables,Web Dev & IA Quiz
Quel risque existe avec une chaîne de méthodes Enumerable trop longue ?,Elle peut devenir difficile à lire et à déboguer,Ruby l'interdit,Elle supprime les données,Elle transforme tout en nil,Ruby,hard,ruby_enumerables,Web Dev & IA Quiz
Quelle méthode peut diviser une collection selon une condition en deux groupes ?,partition,split_by,group_two,divide_if,Ruby,hard,ruby_enumerables,Web Dev & IA Quiz
Pourquoi préférer une méthode Enumerable expressive à une boucle manuelle parfois ?,Elle rend l'intention plus claire,Elle est toujours plus rapide,Elle évite toute mémoire,Elle remplace les classes,Ruby,medium,ruby_enumerables,Web Dev & IA Quiz
Quel mot-clé définit une classe Ruby ?,class,object,struct,type,Ruby,easy,ruby_oop,Web Dev & IA Quiz
Quelle méthode est appelée automatiquement lors de Object.new ?,initialize,constructor,setup,create,Ruby,easy,ruby_oop,Web Dev & IA Quiz
Quel mot-clé représente l'objet courant ?,self,this,current,me,Ruby,easy,ruby_oop,Web Dev & IA Quiz
Quel symbole est utilisé pour l'héritage de classe ?,<,extends,inherits,from,Ruby,medium,ruby_oop,Web Dev & IA Quiz
Quelle méthode crée une nouvelle instance d'une classe ?,new,create_instance,initialize directly,build_class,Ruby,easy,ruby_oop,Web Dev & IA Quiz
À quoi sert attr_reader ?,Créer un getter,Créer un setter uniquement,Créer une table,Rendre une classe abstraite,Ruby,medium,ruby_oop,Web Dev & IA Quiz
À quoi sert attr_writer ?,Créer un setter,Créer un getter uniquement,Supprimer un attribut,Créer un module,Ruby,medium,ruby_oop,Web Dev & IA Quiz
À quoi sert attr_accessor ?,Créer getter et setter,Créer une classe enfant,Créer une constante,Créer un fichier,Ruby,medium,ruby_oop,Web Dev & IA Quiz
Qu'est-ce qu'une instance ?,Un objet créé à partir d'une classe,Une méthode privée,Une variable globale,Un fichier Ruby,Ruby,easy,ruby_oop,Web Dev & IA Quiz
Qu'est-ce qu'une méthode d'instance ?,Une méthode appelée sur un objet,Une méthode appelée uniquement sur la classe,Une commande terminal,Une clé de Hash,Ruby,medium,ruby_oop,Web Dev & IA Quiz
Qu'est-ce qu'une méthode de classe ?,Une méthode appelée sur la classe elle-même,Une méthode interdite aux objets,Une méthode SQL,Une méthode CSS,Ruby,medium,ruby_oop,Web Dev & IA Quiz
Comment définit-on souvent une méthode de classe Ruby ?,def self.method_name,def class.method_name,class def method_name,static method_name,Ruby,medium,ruby_oop,Web Dev & IA Quiz
Pourquoi encapsuler des données dans une classe ?,Pour regrouper état et comportement liés,Pour éviter toute méthode,Pour remplacer Git,Pour écrire du HTML,Ruby,medium,ruby_oop,Web Dev & IA Quiz
Que permet l'héritage ?,Réutiliser et spécialiser le comportement d'une classe parente,Copier une base SQL,Créer un fichier CSS,Supprimer les instances,Ruby,medium,ruby_oop,Web Dev & IA Quiz
Quel risque existe avec une hiérarchie d'héritage trop profonde ?,Le code devient difficile à comprendre,Ruby refuse plus de deux niveaux,Toutes les méthodes deviennent privées,Les objets disparaissent,Ruby,hard,ruby_oop,Web Dev & IA Quiz
Pourquoi préférer parfois la composition à l'héritage ?,Pour assembler des comportements sans couplage excessif,Parce que Ruby n'a pas d'héritage,Parce que les modules sont interdits,Parce que les classes ne peuvent pas avoir d'état,Ruby,hard,ruby_oop,Web Dev & IA Quiz
Que signifie polymorphisme en OOP ?,Des objets différents peuvent répondre au même message,Une variable change de type à chaque ligne,Une méthode ne retourne jamais rien,Une classe contient uniquement des constantes,Ruby,hard,ruby_oop,Web Dev & IA Quiz
Pourquoi limiter l'accès direct aux variables d'instance ?,Pour contrôler l'état interne de l'objet,Parce que @ est interdit,Parce que les variables sont toujours publiques,Pour accélérer SQL,Ruby,hard,ruby_oop,Web Dev & IA Quiz
Quelle convention indique souvent une méthode privée dans une classe ?,La placer sous private,La préfixer par # obligatoirement,La mettre dans un fichier séparé,La nommer en majuscules,Ruby,medium,ruby_oop,Web Dev & IA Quiz
À quoi sert super dans une classe enfant ?,Appeler l'implémentation de la classe parente,Créer une nouvelle classe,Rendre une méthode publique,Supprimer l'héritage,Ruby,hard,ruby_oop,Web Dev & IA Quiz
Quel mot-clé définit un module Ruby ?,module,package,namespace,library,Ruby,easy,ruby_modules_gems,Web Dev & IA Quiz
Quelle instruction charge généralement une librairie Ruby ?,require,import,include_file,use,Ruby,easy,ruby_modules_gems,Web Dev & IA Quiz
Quelle instruction mélange les méthodes d'un module comme méthodes d'instance ?,include,extend,require,load,Ruby,medium,ruby_modules_gems,Web Dev & IA Quiz
Quelle instruction ajoute des méthodes d'un module au niveau de l'objet ou de la classe ?,extend,include,require,attach,Ruby,medium,ruby_modules_gems,Web Dev & IA Quiz
Pourquoi utiliser un module ?,Pour partager du code entre classes,Pour créer une table SQL,Pour écrire du CSS,Pour remplacer les objets,Ruby,easy,ruby_modules_gems,Web Dev & IA Quiz
Qu'est-ce qu'une gem Ruby ?,Une librairie Ruby réutilisable,Une variable globale,Un fichier HTML,Une commande Git,Ruby,easy,ruby_modules_gems,Web Dev & IA Quiz
Quel fichier liste souvent les gems d'un projet Ruby ou Rails ?,Gemfile,package.json,gems.txt,Rubyfile,Ruby,easy,ruby_modules_gems,Web Dev & IA Quiz
Quelle commande installe les gems d'un Gemfile ?,bundle install,gem install all,ruby install,bundle gems,Ruby,easy,ruby_modules_gems,Web Dev & IA Quiz
Quel outil gère souvent les dépendances Ruby d'un projet ?,Bundler,npm,Yarn only,Pip,Ruby,easy,ruby_modules_gems,Web Dev & IA Quiz
Pourquoi préciser une version de gem ?,Pour éviter des changements incompatibles inattendus,Pour rendre Ruby statique,Pour supprimer les modules,Pour compiler HTML,Ruby,medium,ruby_modules_gems,Web Dev & IA Quiz
Quelle différence existe entre require et include ?,"require charge un fichier, include mélange un module",include charge toujours une gem,require crée des méthodes d'instance,Ils sont identiques,Ruby,hard,ruby_modules_gems,Web Dev & IA Quiz
À quoi sert un namespace via module ?,Organiser le code et éviter les conflits de noms,Créer une base de données,Ajouter une route HTTP,Supprimer une classe,Ruby,medium,ruby_modules_gems,Web Dev & IA Quiz
Pourquoi éviter de monkey patcher sans prudence ?,Cela peut modifier le comportement global de classes existantes,Ruby l'interdit toujours,Cela supprime les gems,Cela empêche les tests,Ruby,hard,ruby_modules_gems,Web Dev & IA Quiz
Qu'est-ce qu'un mixin en Ruby ?,Un module inclus pour partager du comportement,Une méthode de tri,Un type de Hash,Un fichier de configuration,Ruby,medium,ruby_modules_gems,Web Dev & IA Quiz
Quelle commande installe une gem individuellement depuis le terminal ?,gem install nom_de_gem,ruby gem add,bundle create gem,install.rb gem,Ruby,easy,ruby_modules_gems,Web Dev & IA Quiz
Pourquoi lire la documentation d'une gem avant usage ?,"Pour comprendre API, configuration et limites",Pour éviter d'écrire du Ruby,Pour remplacer les tests,Pour modifier le Gemfile automatiquement,Ruby,medium,ruby_modules_gems,Web Dev & IA Quiz
Que peut provoquer une mise à jour de gem majeure ?,Des changements incompatibles,Une suppression de Ruby,Une conversion en JavaScript,Une perte automatique de Git,Ruby,hard,ruby_modules_gems,Web Dev & IA Quiz
À quoi sert bundle update ?,Mettre à jour des dépendances selon les contraintes,Installer Ruby lui-même,Créer un Gemfile vide,Supprimer toutes les gems,Ruby,medium,ruby_modules_gems,Web Dev & IA Quiz
Pourquoi éviter trop de dépendances inutiles ?,"Elles peuvent augmenter maintenance, risques et complexité",Elles rendent toujours le code plus rapide,Elles remplacent l'architecture,Elles suppriment les bugs,Ruby,hard,ruby_modules_gems,Web Dev & IA Quiz
Quel fichier verrouille les versions exactes installées par Bundler ?,Gemfile.lock,Gemfile.freeze,versions.rb,bundle.lock.rb,Ruby,medium,ruby_modules_gems,Web Dev & IA Quiz
Quel mot-clé permet de lever une exception en Ruby ?,raise,throw_error,crash,panic,Ruby,easy,ruby_errors_debugging,Web Dev & IA Quiz
Quel mot-clé permet de capturer une exception ?,rescue,catch,except,handle,Ruby,easy,ruby_errors_debugging,Web Dev & IA Quiz
