question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,source
"Dans l'univers de Half-Life, le centre de recherche de Black Mesa est situé dans quel État américain ?",New Mexico,Nevada,Arizona,Wyoming,Divertissement : Jeux vidéo,medium,Open Trivia DB
Quel terme est le mieux associé à Sigmund Freud ?,Psychanalyse,Thérapie cognitivo-comportementale,Théorie de la gravitation,Thérapie comportementale dialectique,Science et nature,medium,Open Trivia DB
Le canal de Panama a été officiellement inauguré par quel président américain ?,Woodrow Wilson,Calvin Coolidge,Herbert Hoover,Théodore Roosevelt,Connaissances générales,hard,Open Trivia DB
"L'une des pandémies les plus meurtrières, la « grippe espagnole », a tué quel pourcentage de la population mondiale de l'époque ?",3 à 6 pour cent,6 à 10 pour cent,1 à 3 pour cent,moins de 1 pour cent,Histoire,medium,Open Trivia DB
Un stimpmètre mesure la vitesse d'une balle sur quelle surface ?,Green de golf,Terrain de football,Terrain de cricket extérieur,Table de flipper,Sportif,medium,Open Trivia DB
L'objectif principal de l'opération allemande « Opération Bleue » pendant la Seconde Guerre mondiale était initialement de capturer quoi ?,Caucase,Stalingrad,Crimée,Voronej,Histoire,hard,Open Trivia DB
En quelle année Netflix a-t-il été fondé ?,1997,1999,2004,2001,Divertissement : Télévision,medium,Open Trivia DB
Quel était le nom du policier dans le dessin animé « Top Cat » ?,Plantoir,Barbrady,Mahoney,Murphy,Divertissement : Télévision,easy,Open Trivia DB
Qui a créé le jeu d'aventure indépendant « Night in the Woods » ?,Alec Holowka,Ron Gilbert,Tim Schafer,Tommy Refenes,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Quel est le surnom de Jack Dawkins dans le roman de Charles Dickens, « Oliver Twist » ?",Le Renard,Fagin,Cible,M. Fang,Divertissement : Livres,medium,Open Trivia DB
Lequel des tournois du Grand Chelem de tennis suivants a lieu en DERNIER ?,US Open,Roland-Garros,Wimbledon,Open d'Australie,Sportif,medium,Open Trivia DB
Qui est le protagoniste de Dead Rising 3 ?,Nick Ramos,Frank West,Chuck Greene,Isabela Keyes,Divertissement : Jeux vidéo,medium,Open Trivia DB
Quelle franchise populaire de jeux de tir à la première personne (FPS) a bénéficié d'un jeu de stratégie en temps réel (RTS) développé à partir de son univers ?,Halo,Champ de bataille,Appel du devoir,Borderlands,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quelle chanson contient les mots « Numa Numa » qui ont fait l'objet d'une vidéo virale en 2004 ?,Dragostea Din Tei,Despacito,Gangnam Style,Asereje,Divertissement : Musique,hard,Open Trivia DB
Un médecin titulaire d'un doctorat est un docteur en quoi ?,Philosophie,Psychologie,Phrénologie,physiothérapie,Connaissances générales,medium,Open Trivia DB
En quelle année la Première Guerre mondiale a-t-elle commencé ?,1914,1930,1917,1939,Histoire,medium,Open Trivia DB
"Dans Touhou : Embodiment of Scarlet Devil, quelle est la musique jouée pendant le combat contre Flandre Scarlet ?",L'ONU Owen était son,Septette pour la princesse morte,Nuit fleurie,Pierrot de la bannière étoilée,Divertissement : Jeux vidéo,medium,Open Trivia DB
"Damon Albarn, le co-créateur de Gorillaz, est également le chanteur principal de quel groupe ?",Se brouiller,Oasis,Radiohead,Reines de l'âge de pierre,Divertissement : Musique,medium,Open Trivia DB
Qui fut le premier président du Mexique ?,Guadalupe Victoria,Benito Juárez,Miguel Hidalgo Y Costilla,Vicente Guerrero,Connaissances générales,easy,Open Trivia DB
Lequel des personnages suivants du jeu « Overwatch » a été révélé comme étant homosexuel en décembre 2016 ?,Traceur,Veuve,Sombra,Symmetra,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Dans Big Hero 6, de quelle ville fictive sont originaires les six héros ?",San Francisco,San Tokyo,Tokyo,Sankyo,Divertissement : Film,easy,Open Trivia DB
Le légendaire moteur VR6 de Volkswagen possède des cylindres positionnés à quel angle ?,15 degrés,30 degrés,45 degrés,90 degrés,Véhicules,hard,Open Trivia DB
"Quel a été le sénateur ayant exercé le plus longtemps ses fonctions dans l'histoire des États-Unis, de 1959 à 2010 ?",Robert Byrd,Daniel Inouye,Strom Thurmond,Joe Biden,Politique,hard,Open Trivia DB
Quel oiseau naît avec des griffes au bout des doigts de ses ailes ?,Hoazin,Cormoran,Casoar,Messager sagittaire,Animaux,hard,Open Trivia DB
"Dans quel hôtel d'Édimbourg, en Écosse, J.K. Rowling a-t-elle terminé « Harry Potter et les Reliques de la Mort » ?",Le Balmoral,L'hôtel Dunstane,Hôtel Novotel,Hôtel et spa Sheraton Grand,Divertissement : Livres,medium,Open Trivia DB
Quelle entreprise japonaise est le plus grand fabricant de motos au monde ?,Honda,Yamaha,Suzuki,Kawasaki,Véhicules,medium,Open Trivia DB
Combien de fois affronte-t-on les prisonniers dans The Legend of Zelda : Skyward Sword ?,3,2,4,5,Divertissement : Jeux vidéo,medium,Open Trivia DB
"Dans le RPG « Undertale » de 2015, quel personnage rencontre-t-on en premier après être tombé dans le monde souterrain ?",Flowey,Toriel,Sans,Papyrus,Divertissement : Jeux vidéo,medium,Open Trivia DB
Combien de zones de score comporte une cible de fléchettes classique ?,82,62,42,102,Sportif,medium,Open Trivia DB
Quel Pokémon voit ses statistiques de base totales rester inchangées lors de son évolution ?,Scyther,Pikachu,Sneasel,Larvesta,Divertissement : Jeux vidéo,hard,Open Trivia DB
La myopie est le terme scientifique désignant quelle affection ?,myopie,Presbytie,Double vision,Vision trouble,Science et nature,medium,Open Trivia DB
Quand les Beatles ont-ils sorti l'album « Please Please Me » ?,1963,1970,1960,1969,Divertissement : Musique,medium,Open Trivia DB
"Lequel de ces noms désigne un système de médecine alternative japonais, signifiant littéralement « pression des doigts » ?",Shiatsu,Ukiyo,Majimé,Ikigaï,Connaissances générales,medium,Open Trivia DB
"Quelle société de jeux vidéo a développé le jeu Rage 2, sorti en 2019 ?",Studios Avalanche,Bethesda Game Studios,Infinity Ward,Logiciel Gearbox,Divertissement : Jeux vidéo,medium,Open Trivia DB
Quelle est la plus grande île non continentale du monde ?,Groenland,Nouvelle-Guinée,Bornéo,Madagascar,Géographie,medium,Open Trivia DB
Qui était le guitariste du groupe « The Doors » ?,Robby Krieger,Éric Clapton,John Densmore,Jimi Hendrix,Divertissement : Musique,medium,Open Trivia DB
Qui est le chef de l'équipe Valor dans Pokémon Go ?,Candela,Saule,Blanche,Étincelle,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quel est le point faible des vampires américains (American Vampire de Scott Snyder) ?,Or,Soleil,Bois,Argent,Divertissement : Bandes dessinées,medium,Open Trivia DB
Combien de personnages jouables y avait-il dans Street Fighter II : Champion Edition ?,12,16,8,17,Divertissement : Jeux vidéo,medium,Open Trivia DB
Lequel de ces clubs de football anglais est basé à Liverpool ?,Everton,West Ham United,Palais de Cristal,Arsenal,Sportif,medium,Open Trivia DB
Qu’est-ce que l’on appelle « le cerveau » de l’ordinateur ?,Unité centrale de traitement,Carte mère,Unité de traitement graphique,Clavier,Sciences : Informatique,medium,Open Trivia DB
Le corps du Sphinx égyptien était inspiré de quel animal ?,Lion,Taureau,Cheval,Chien,Géographie,easy,Open Trivia DB
Quels outils Gregory Mendel a-t-il utilisés pour tester les croisements génétiques ?,Petits pois,Chats,Fleurs,Perroquets,Science et nature,easy,Open Trivia DB
Quelle est la 15e lettre de l'alphabet grec ?,Omicron (O),Sigma (Σ),Pi (Π),Nu (N),Géographie,easy,Open Trivia DB
Quel est l'établissement humain le plus septentrional habité à l'année ?,"Alerte, Canada","Nagurskoye, Russie","Station McMurdo, Antarctique","Honningsvåg, Norvège",Géographie,medium,Open Trivia DB
Lequel des animes suivants du genre mecha a commencé à être diffusé en 1982 ?,La forteresse superdimensionnelle Macross,Mobile Suit Gundam,Soldat blindé VOTOMS,Neon Genesis Evangelion,Divertissement : Anime et manga japonais,medium,Open Trivia DB
"Dans Counter Strike : Global Offensive, quel est le code implanté sur le C4 lorsque les terroristes posent la bombe ?",7355608,7890728,7256380,7726354,Divertissement : Jeux vidéo,hard,Open Trivia DB
Quel était le vrai nom de Gengis Khan ?,Temüjin,Möngke,Ögedei,Temür,Histoire,medium,Open Trivia DB
Quel pays est entièrement enclavé par l'Afrique du Sud ?,Lesotho,Swaziland,Botswana,Zimbabwe,Géographie,hard,Open Trivia DB
"Dans Divinity: Original Sin II, quel est le nom du personnage à l'origine squelettique ?",Fane,Lohse,Le Prince Rouge,Il n'existe aucun personnage d'origine squelettique,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quelle est la montagne qui possède le plus haut sommet d'Afrique ?,"Mont Kilimandjaro, Tanzanie","Mont Kenya, Kenya","Mont Stanley, République démocratique du Congo/Ouganda","Mont Speke, Ouganda",Connaissances générales,medium,Open Trivia DB
"La Tsar Bomba, la bombe nucléaire la plus puissante jamais testée, avait une puissance de 50 mégatonnes, mais théoriquement, sa puissance maximale était de combien ?",100 mégatonnes,200 mégatonnes,75 mégatonnes,150 mégatonnes,Histoire,medium,Open Trivia DB
"Dans l'anime Initial D, comment Takumi Fujiwara décrit-il un drift ?",« … les pneus avant glissent de sorte que la voiture ne se dirige pas vers l’intérieur »,"« … les roues perdent de l’adhérence, ce qui fait glisser la voiture sur le côté »","« … la voiture survire dans un virage, ce qui la fait tourner plus vite »",« …tu tournes beaucoup »,Divertissement : Anime et manga japonais,hard,Open Trivia DB
"Dans le jeu vidéo « Kingdom Hearts » de 2002, combien de Keyblades sont utilisables ?",18,13,16,15,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quel fut le premier film d'Alfred Hitchcock à être tourné en couleur ?,Corde,Psycho,Vertige,Rebecca,Divertissement : Film,hard,Open Trivia DB
Combien de voitures en carbone y a-t-il dans Burnout Paradise ?,6,4,3,5,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quelle carte Magic: The Gathering a pour seul texte d'ambiance « Ribbit » ?,Tournez-vous vers la grenouille,Grenouille à spores,Crapaud gonflé,Frogmite,Divertissement : Jeux de société,hard,Open Trivia DB
"Dans la série Homestuck, quel est le nom alternatif du Royaume des Lumières ?",Prospit,Sans nom,Cité d'Or,Lune jaune,Divertissement : Bandes dessinées,hard,Open Trivia DB
"Dans le jeu Call of Duty, quel est le dernier niveau où l'on incarne un soldat américain ?",Festung Recogne,Sainte-Mère-Église (Jour),Château,Brecourt,Divertissement : Jeux vidéo,hard,Open Trivia DB
"En juin 2017, l'Arabie saoudite et l'Égypte ont rompu leurs relations diplomatiques avec quel pays en raison de son soutien présumé au terrorisme ?",Qatar,Bahreïn,les états-unis d'Amérique,Russie,Politique,hard,Open Trivia DB
Quel était le nom de l'île mystérieuse dans « L'Île mystérieuse » de Jules Verne ?,Île Lincoln,Île de Vulcania,L'île de Prométhée,Île de Neptune,Divertissement : Livres,medium,Open Trivia DB
Quels chiffres Sayaka Maizono a-t-elle écrits sur le mur dans Dangan Ronpa Trigger Happy Havoc ?,11037,"4, 8, 15, 16, 23, 42",55730,"3, 9, 11, 12, 15, 17,",Divertissement : Jeux vidéo,medium,Open Trivia DB
Quelle était la destination du vol disparu MH370 ?,Pékin,Kuala Lumpur,Singapour,Tokyo,Connaissances générales,medium,Open Trivia DB
"Quel était le titre du premier album studio de George Michael, sorti en 1987 et qui a caracolé en tête des charts ?",Foi,Chansons du siècle dernier,Patience,Plus vieux,Divertissement : Musique,medium,Open Trivia DB
Qui est le fondateur de Palantir ?,Peter Thiel,Mark Zuckerberg,Marc Benioff,Jack Dorsey,Sciences : Informatique,hard,Open Trivia DB
Le canal de Panama a été achevé sous l'administration de quel président américain ?,Woodrow Wilson,Franklin Delano Roosevelt,Herbert Hoover,Théodore Roosevelt,Histoire,medium,Open Trivia DB
"Selon les estimations des spécialistes, quel pourcentage de la population mondiale de l'époque est mort à cause des conquêtes de Tamerlan ?",5%,1%,3%,<1%,Histoire,medium,Open Trivia DB
"Quel était le surnom du modèle original de Gordon Freeman, le protagoniste de Half-Life ?",Ivan le motard de l'espace,Gordon le motard de l'espace,Ivan le motard extraterrestre,Gordon le motard extraterrestre,Divertissement : Jeux vidéo,hard,Open Trivia DB
Quel nom Tom Hanks a-t-il donné à son partenaire de volley-ball dans le film « Seul au monde » ?,Wilson,Vendredi,Jones,Gamelle,Divertissement : Film,easy,Open Trivia DB
"Où se trouve à La Corogne (Espagne) le siège social d'« Inditex », le plus grand groupe de mode au monde ?",Arteijo,Sanjenjo,Mugía,Órdenes,Connaissances générales,hard,Open Trivia DB
Lequel de ces personnages vit dans un ananas sous la mer dans le dessin animé « Bob l'éponge » ?,Bob l'éponge,Patrick Star,Carlo Tentacule,M. Krabs,Divertissement : Dessins animés et animation,easy,Open Trivia DB
Quelle technologie porte le nom d'un souverain du Xe siècle du Danemark et de la Norvège ?,Bluetooth,Wi-Fi,GPS,Internet,Connaissances générales,easy,Open Trivia DB
"En informatique, que signifie LAN ?",Réseau local,Nœud d'antenne longue,Nœud d'accès à la lumière,Navigation par adresse terrestre,Sciences : Informatique,easy,Open Trivia DB
Quel a été le premier long métrage d'animation par ordinateur ?,Toy Story,Tron,Le Roi Lion,Les 101 Dalmatiens,Divertissement : Film,easy,Open Trivia DB
"Selon Sherlock Holmes, « Si vous éliminez l'impossible, ce qui reste, aussi improbable soit-il, est forcément… »",Vérité,Répondre,Cause,Source,Connaissances générales,easy,Open Trivia DB
"Butters Stotch, Pip Pirrup et Wendy Testaburger sont tous des personnages de quelle série télévisée d'animation de longue durée ?",South Park,Les Simpson,Les gars de la famille,Bob's Burgers,Divertissement : Dessins animés et animation,easy,Open Trivia DB
Quel est le nom de la péninsule qui abrite l'Espagne et le Portugal ?,péninsule Ibérique,Péninsule européenne,Péninsule du Péloponnèse,Péninsule scandinave,Géographie,easy,Open Trivia DB
"Quelle émission est connue pour ses chansons « You are a Pirate », « Cooking by the Book » et « We Are Number One » ?",LazyTown,Sofia la Première,DuckTales,Tom et Jerry,Divertissement : Télévision,easy,Open Trivia DB
Quel pays ne faisait PAS partie de l'Union soviétique ?,Roumanie,Turkménistan,Biélorussie,Tadjikistan,Géographie,easy,Open Trivia DB
Qui a remporté la 10e saison de Big Brother aux États-Unis ?,Dan Gheesling,Adam Jasinski,Hayden Moss,Dick Donato,Divertissement : Télévision,easy,Open Trivia DB
Qui interprétait le rôle principal féminin dans le film « King Kong » de 1933 ?,Fay Wray,Jean Harlow,Vivien Leigh,Mae West,Divertissement : Film,easy,Open Trivia DB
Quelle est la masse atomique du carbone ?,12,14,16,10,Science et nature,easy,Open Trivia DB
"Dans Avengers : Infinity War, où se trouvait la Pierre de l'Âme ?",Vormir,Xandar,Knowhere,Asgard,Divertissement : Film,easy,Open Trivia DB
"Dans Minecraft, quels sont les deux objets à combiner pour fabriquer une torche ?",Bâton et charbon,Stick and Fire,Bois et charbon,Bois et feu,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Selon la Constitution des États-Unis, quel est l'âge minimum pour être élu président des États-Unis ?",35,30,40,45,Politique,easy,Open Trivia DB
Quel club de football anglais est surnommé « Les Renards » ?,Leicester City,Ville de Northampton,Ville de Bradford,West Bromwich Albion,Sportif,easy,Open Trivia DB
Quel était le rôle de Frank West dans « Dead Rising » ?,Photojournaliste,Concierge,Cuisinier,Chauffeur de taxi,Divertissement : Jeux vidéo,easy,Open Trivia DB
La ceinture d'astéroïdes se situe entre quelles deux planètes ?,Mars et Jupiter,Jupiter et Saturne,Mercure et Vénus,La Terre et Mars,Science et nature,easy,Open Trivia DB
"Où se trouve la gare ""Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch"" ?",Pays de Galles,Moldavie,République tchèque,Danemark,Connaissances générales,easy,Open Trivia DB
Avec combien de pays les États-Unis partagent-ils une frontière terrestre ?,2,1,3,4,Géographie,easy,Open Trivia DB
Quel film sorti en 2016 met en scène un combat entre Superman et Batman ?,Batman v Superman : L'Aube de la Justice,Batman contre Superman : Superapocalypse,Batman v Superman : Le Chevalier Noir,Batman contre Superman : Knightfall,Divertissement : Film,easy,Open Trivia DB
"Dans la série télévisée « Mad Men », quel était le vrai nom de Donald Draper ?",Richard « Dick » Whitman,Donald Draper,John Ashbury,Michael « Mikey » Wilhelm,Divertissement : Télévision,easy,Open Trivia DB
Qui est le chef de la Team Mystic dans Pokémon Go ?,Blanche,Candela,Étincelle,Saule,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Dans la série originale Mega Man, qui est l'ennemi juré de Mega Man ?",Dr. Wily,Docteur Lumière,Docteur Bad,Monsieur Z,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Selon le livre de la Genèse dans l'Ancien Testament, combien de jours a-t-il fallu à Dieu pour créer le monde ?",Six,Sept,Un,Douze,Connaissances générales,easy,Open Trivia DB
Quelle est l'arme la plus chère dans Counter-Strike : Global Offensive ?,Scar-20/G3SG1,M4A1,AWP,Revolver R8,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Quel était le surnom donné au Hughes H-4 Hercules, un hydravion de transport lourd qui a effectué son premier vol en 1947 ?",Oie des sapins,Arche de Noé,Gros homme,Cheval de Troie,Connaissances générales,easy,Open Trivia DB
Que signifie le terme USB ?,Bus série universel,Lotion universelle Simtex,Bus de signalisation unifié,Soutien Semtex Unityped,Sciences : Informatique,easy,Open Trivia DB
Quelle est l'unité de résistance électrique ?,Ohm,Mho,Tesla,Joule,Science et nature,easy,Open Trivia DB
Quel est le nom de famille d'Edward et d'Alphonse dans la série Fullmetal Alchemist ?,Elric,Ellis,Éliek,Elwood,Divertissement : Anime et manga japonais,easy,Open Trivia DB
Qui fut le premier président des États-Unis ?,George Washington,James Madison,Thomas Jefferson,James K. Polk,Histoire,easy,Open Trivia DB
Quel jeu a été élu Jeu de l'année 2018 ?,Dieu de la guerre,Detroit : Devenir humain,Red Dead Redemption 2,Une issue,Histoire,easy,Open Trivia DB
Quel pays d'Amérique du Sud a combattu la Grande-Bretagne au sujet des îles Malouines en 1982 ?,Argentine,Brésil,Chili,Venezuela,Histoire,easy,Open Trivia DB
Qui est le protagoniste principal de Dead Space ?,Isaac Clarke,Commandant Shepard,Gordon Freeman,Maître-chef,Divertissement : Jeux vidéo,easy,Open Trivia DB
La « British Invasion » était un phénomène culturel musical où les boys bands britanniques sont devenus populaires aux États-Unis dans quelle décennie ?,années 60,années 50,années 40,années 30,Divertissement : Musique,easy,Open Trivia DB
Quelle est la plus ancienne œuvre de fiction connue au monde ?,Épopée de Gilgamesh,Papyrus d'Ani,Code d'Hammurabi,Pierre de Rosette,Art,easy,Open Trivia DB
Quel personnage de 'Family Guy' a eu droit à sa propre série dérivée en 2009 ?,Cleveland Brown,Glenn Quagmire,Joe Swanson,Le sourd enduit de graisse,Divertissement : Dessins animés et animation,easy,Open Trivia DB
"Quel est le pays, hors Japon, qui compte le plus de personnes d'origine japonaise ?",Brésil,Chine,Corée du Sud,les états-unis d'Amérique,Connaissances générales,easy,Open Trivia DB
"Dans le jeu d'horreur et de survie « Cry of Fear », quel était le nom de l'ami proche/potentiel intérêt amoureux de Simon ?",Sophie,Olivia,Jessica,Alice,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quelle société développe la série de jeux de rythme Rock Band ?,Harmonix,Activision,Konami,Arts électroniques,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Dans ""Overwatch"", quel est le nom de l'entreprise qui a fabriqué le mécha de D.Va ?",MEKA,MI8,KPAMC,JSAMB,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quelle est la planète la plus chaude du système solaire ?,Vénus,Mars,Mercure,Jupiter,Science et nature,easy,Open Trivia DB
L'Empire ottoman a été dissous après sa défaite dans quelle guerre ?,Première Guerre mondiale,Guerre de Crimée,Révolution serbe,Seconde Guerre balkanique,Histoire,easy,Open Trivia DB
"Lors du lancement de Gmail, quelle capacité de stockage offrait-il pour vos e-mails ?",1 Go,512 Mo,5 Go,Illimité,Sciences : Informatique,easy,Open Trivia DB
Le dieu grec Poséidon était le dieu de quoi ?,La mer,Guerre,Soleil,Feu,Mythologie,easy,Open Trivia DB
"Quel est le nom de la station de ski de l'Utah que Robert Redford a achetée en 1968, et qui tire son nom d'un personnage qu'il incarnait dans un film de 1969 ?",Sundance,Woodward,Tourneur,Booker,célébrités,easy,Open Trivia DB
Quel studio d'animation a produit « Gurren Lagann » ?,Gainax,Kyoto Animation,Pierrot,A-1 Photos,Divertissement : Anime et manga japonais,easy,Open Trivia DB
L'acronyme péjoratif « PIIGS » fait référence à lequel des pays européens suivants et à leur situation économique ?,"Portugal, Irlande, Italie, Grèce, Espagne","Pologne, Islande, Italie, Grèce, Serbie","Pologne, Islande, Italie, Groenland, Espagne","Portugal, Islande, Irlande, Grèce, Serbie",Géographie,easy,Open Trivia DB
Qui a joué dans le film « Opération Dragon » de 1973 ?,Bruce Lee,Jackie Chan,Jet Li,Yun-Fat Chow,Divertissement : Film,easy,Open Trivia DB
Que signifie GHz ?,Gigahertz,Gigahotz,Gigahetz,Gigahatz,Sciences : Informatique,easy,Open Trivia DB
Quel jeu vidéo a suscité la controverse à cause de son mini-jeu caché « Hot Coffee » ?,Grand Theft Auto : San Andreas,Grand Theft Auto : Vice City,Hitman : L'argent du sang,Maman Cuisinière,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Au baseball, combien de fautes représentent un retrait ?",0,5,3,2,Sportif,easy,Open Trivia DB
Qui a chevauché pour avertir les Minutemen de l'arrivée des Britanniques pendant la guerre d'indépendance américaine ?,Paul Revere,Thomas Paine,Henry Longfellow,Nathan Hale,Histoire,easy,Open Trivia DB
Qui fut le premier Premier ministre du Canada ?,John Macdonald,John Abbott,Alexandre Mackenzie,Robert Borden,Histoire,easy,Open Trivia DB
Quelle est la langue la plus parlée en Suisse ?,Allemand,Français,italien,suisse,Connaissances générales,easy,Open Trivia DB
"Quelle fut la bataille la plus longue de la Première Guerre mondiale, durant environ 303 jours ?",Bataille de Verdun,Bataille de Passchendaele,Bataille d'Amiens,Bataille de Stalingrad,Histoire,easy,Open Trivia DB
Laquelle des nations suivantes n'a PAS participé à la Première Guerre mondiale ?,Danemark,Portugal,Grèce,Roumanie,Connaissances générales,easy,Open Trivia DB
"Quel tableau de Van Gogh représente la vue depuis son asile à Saint-Rémy-de-Provence, dans le sud de la France ?",La Nuit étoilée,Champs de blé avec des corbeaux,Le semeur au soleil couchant,L'église d'Auvers,Art,easy,Open Trivia DB
"Dans « Breaking Bad », Walter White est un professeur de lycée atteint de quel type de cancer ?",cancer du poumon,Cancer de la prostate,Cancer du cerveau,Cancer des testicules,Divertissement : Télévision,easy,Open Trivia DB
