name;content;description;steps;mood;location;duration;image_key
Bureau numérique;Ferme les onglets et fenêtres inutiles.;Un reset digital pour retrouver de la concentration.;1) Regarde tes onglets ouverts. 2) Ferme ceux dont tu n'as plus besoin. 3) Sauvegarde un lien important si nécessaire. 4) Ferme les applications parasites. 5) Garde un écran plus simple.;Mitigé;Maison;5;productivity
Liste anti-oubli;Crée une mini-liste des choses qui tournent en tête.;Une activité rapide pour sortir les pensées de ta mémoire active.;1) Note tout ce qui te revient en tête. 2) Ne trie pas encore. 3) Entoure les trois points vraiment utiles. 4) Barre ce qui n'a pas d'importance. 5) Garde la liste pour plus tard.;À plat;Maison;5;productivity
Papiers évidents;Trie seulement les papiers faciles à classer ou jeter.;Une action courte pour réduire une pile sans l'attaquer entièrement.;1) Prends une petite pile de papiers. 2) Jette les enveloppes et brouillons inutiles. 3) Mets les documents importants ensemble. 4) Ne lis pas tout en détail. 5) Stoppe après cinq minutes.;En forme;Bureau;5;productivity
Frigo rapide;Retire les aliments clairement périmés ou inutilisables.;Un mini-tri alimentaire simple et concret.;1) Ouvre le frigo. 2) Repère les produits évidemment périmés. 3) Jette ce qui n'est plus consommable. 4) Regroupe les produits à finir vite. 5) Essuie une petite zone si besoin.;Mitigé;Bureau;5;productivity
Écran propre;Nettoie ton écran et ton clavier rapidement.;Une activité simple pour rendre ton outil principal plus agréable.;1) Éteins ou verrouille l'écran. 2) Passe un chiffon adapté. 3) Retire les miettes visibles du clavier. 4) Nettoie la souris ou le trackpad. 5) Reprends avec un espace plus net.;À plat;Bureau;5;productivity
Bouteille d'eau;Prépare ton point hydratation pour les prochaines heures.;Une action utile qui soutient ton énergie sans effort.;1) Prends une bouteille ou un verre. 2) Remplis-le d'eau. 3) Place-le à portée de main. 4) Nettoie rapidement autour. 5) Bois quelques gorgées.;En forme;Extérieur;5;productivity
Surface nuit;Range rapidement ta table de chevet.;Une activité courte pour rendre le soir ou le matin plus agréable.;1) Retire les objets inutiles. 2) Garde seulement lampe, livre ou essentiel. 3) Jette mouchoirs et papiers. 4) Replace un objet au bon endroit. 5) Laisse une surface respirable.;Mitigé;Extérieur;5;productivity
Chaise libérée;Débarrasse la chaise qui sert de dépôt temporaire.;Un rangement ciblé qui donne une sensation d'espace immédiate.;1) Choisis une chaise encombrée. 2) Retire les vêtements ou objets. 3) Mets le linge sale au bon endroit. 4) Plie ce qui doit être gardé. 5) Laisse la chaise utilisable.;À plat;Extérieur;5;productivity
Agenda éclair;Vérifie ton prochain rendez-vous et prépare une action.;Une activité de clarté pour éviter les mauvaises surprises.;1) Ouvre ton agenda. 2) Regarde le prochain événement important. 3) Note ce qu'il faut préparer. 4) Ajoute un rappel si nécessaire. 5) Ferme l'agenda.;En forme;Maison;5;productivity
Coin chaussures;Remets rapidement de l'ordre dans les chaussures visibles.;Une petite action d'organisation qui rend l'entrée plus propre.;1) Repère les chaussures qui traînent. 2) Aligne celles qui servent souvent. 3) Range une paire inutile ailleurs. 4) Retire les objets au sol. 5) Garde le passage dégagé.;Mitigé;Maison;5;productivity
Routine anti-procrastination;Transforme une tâche repoussée en première action très concrète.;Une activité pour sortir du blocage sans viser la performance.;1) Choisis une tâche que tu repousses. 2) Écris seulement la première action. 3) Prépare l'outil nécessaire. 4) Fais deux minutes de démarrage. 5) Note la suite sans obligation de finir.;À plat;Maison;5;productivity
Zone zéro bazar;Crée une petite zone parfaitement claire.;Une action de rangement limitée qui donne une vraie satisfaction visuelle.;1) Choisis une zone très précise. 2) Retire tous les objets. 3) Nettoie rapidement. 4) Replace seulement deux ou trois éléments utiles. 5) Laisse le reste à trier plus tard.;En forme;Bureau;5;productivity
Top trois priorités;Clarifie ce qui compte vraiment maintenant.;Une activité mentale productive pour réduire le bruit intérieur.;1) Note toutes les tâches qui te viennent. 2) Choisis les trois plus importantes. 3) Classe-les par impact. 4) Découpe la première en action simple. 5) Garde cette action visible.;Mitigé;Bureau;5;productivity
Nettoyage notifications;Réduis les interruptions inutiles de ton téléphone.;Une activité numérique qui aide directement à moins scroller.;1) Ouvre les réglages de notifications. 2) Choisis une application trop bruyante. 3) Coupe une notification inutile. 4) Répète avec deux autres apps. 5) Garde seulement l'utile.;À plat;Bureau;5;productivity
Objet à sa place;Remets en place les objets qui traînent autour de toi.;Une action simple pour retrouver de l'ordre sans gros chantier.;1) Repère cinq objets déplacés. 2) Ramène chacun à son vrai emplacement. 3) Jette ce qui n'a plus d'utilité. 4) Nettoie la zone libérée. 5) Observe le gain d'espace.;En forme;Extérieur;5;productivity
Mini inventaire;Fais le point sur une catégorie d'objets que tu accumules.;Une activité de clarté pour éviter les doublons et les achats inutiles.;1) Choisis une catégorie comme câbles stylos carnets ou produits. 2) Regroupe ce qui est visible. 3) Compte rapidement. 4) Garde les meilleurs. 5) Mets les doublons à part.;Mitigé;Extérieur;5;productivity
Pause administrative;Traite une seule petite tâche administrative.;Une action courte pour éviter que les papiers deviennent une montagne.;1) Choisis une tâche simple. 2) Ouvre le document ou site nécessaire. 3) Complète seulement l'étape accessible. 4) Note ce qui bloque si besoin. 5) Range la preuve ou le document.;À plat;Extérieur;5;productivity
Nettoyage sac numérique;Allège ton téléphone comme tu viderais un sac.;Une activité digitale pour retirer l'inutile et calmer l'interface.;1) Supprime trois captures inutiles. 2) Ferme les applications ouvertes. 3) Retire un raccourci inutile. 4) Range une app dans un dossier. 5) Garde l'écran plus sobre.;En forme;Maison;5;productivity
Surface de départ;Prépare une zone pour commencer une activité utile ensuite.;Une mise en place qui réduit la friction avant une tâche.;1) Choisis l'activité à venir. 2) Prépare l'objet principal. 3) Retire ce qui gêne. 4) Mets l'outil au centre. 5) Laisse la zone prête à l'emploi.;Mitigé;Maison;5;productivity
Décision rapide;Prends une petite décision que tu repousses.;Une activité pour fermer une boucle mentale sans gros effort.;1) Choisis une décision simple. 2) Note deux options maximum. 3) Choisis la plus réaliste. 4) Note la prochaine action. 5) Considère le sujet fermé pour l'instant.;À plat;Maison;5;productivity
Routine anti-procrastination 2;Transforme une tâche repoussée en première action très concrète.;Une activité pour sortir du blocage sans viser la performance.;1) Choisis une tâche que tu repousses. 2) Écris seulement la première action. 3) Prépare l'outil nécessaire. 4) Fais deux minutes de démarrage. 5) Note la suite sans obligation de finir.;En forme;Bureau;5;productivity
Zone zéro bazar 2;Crée une petite zone parfaitement claire.;Une action de rangement limitée qui donne une vraie satisfaction visuelle.;1) Choisis une zone très précise. 2) Retire tous les objets. 3) Nettoie rapidement. 4) Replace seulement deux ou trois éléments utiles. 5) Laisse le reste à trier plus tard.;Mitigé;Bureau;5;productivity
Top trois priorités 2;Clarifie ce qui compte vraiment maintenant.;Une activité mentale productive pour réduire le bruit intérieur.;1) Note toutes les tâches qui te viennent. 2) Choisis les trois plus importantes. 3) Classe-les par impact. 4) Découpe la première en action simple. 5) Garde cette action visible.;À plat;Bureau;5;productivity
Nettoyage notifications 2;Réduis les interruptions inutiles de ton téléphone.;Une activité numérique qui aide directement à moins scroller.;1) Ouvre les réglages de notifications. 2) Choisis une application trop bruyante. 3) Coupe une notification inutile. 4) Répète avec deux autres apps. 5) Garde seulement l'utile.;En forme;Extérieur;5;productivity
Objet à sa place 2;Remets en place les objets qui traînent autour de toi.;Une action simple pour retrouver de l'ordre sans gros chantier.;1) Repère cinq objets déplacés. 2) Ramène chacun à son vrai emplacement. 3) Jette ce qui n'a plus d'utilité. 4) Nettoie la zone libérée. 5) Observe le gain d'espace.;Mitigé;Extérieur;5;productivity
Mini inventaire 2;Fais le point sur une catégorie d'objets que tu accumules.;Une activité de clarté pour éviter les doublons et les achats inutiles.;1) Choisis une catégorie comme câbles stylos carnets ou produits. 2) Regroupe ce qui est visible. 3) Compte rapidement. 4) Garde les meilleurs. 5) Mets les doublons à part.;À plat;Extérieur;5;productivity
Pause administrative 2;Traite une seule petite tâche administrative.;Une action courte pour éviter que les papiers deviennent une montagne.;1) Choisis une tâche simple. 2) Ouvre le document ou site nécessaire. 3) Complète seulement l'étape accessible. 4) Note ce qui bloque si besoin. 5) Range la preuve ou le document.;En forme;Maison;5;productivity
Nettoyage sac numérique 2;Allège ton téléphone comme tu viderais un sac.;Une activité digitale pour retirer l'inutile et calmer l'interface.;1) Supprime trois captures inutiles. 2) Ferme les applications ouvertes. 3) Retire un raccourci inutile. 4) Range une app dans un dossier. 5) Garde l'écran plus sobre.;Mitigé;Maison;5;productivity
Surface de départ 2;Prépare une zone pour commencer une activité utile ensuite.;Une mise en place qui réduit la friction avant une tâche.;1) Choisis l'activité à venir. 2) Prépare l'objet principal. 3) Retire ce qui gêne. 4) Mets l'outil au centre. 5) Laisse la zone prête à l'emploi.;À plat;Maison;5;productivity
Décision rapide 2;Prends une petite décision que tu repousses.;Une activité pour fermer une boucle mentale sans gros effort.;1) Choisis une décision simple. 2) Note deux options maximum. 3) Choisis la plus réaliste. 4) Note la prochaine action. 5) Considère le sujet fermé pour l'instant.;En forme;Bureau;5;productivity
Routine anti-procrastination 3;Transforme une tâche repoussée en première action très concrète.;Une activité pour sortir du blocage sans viser la performance.;1) Choisis une tâche que tu repousses. 2) Écris seulement la première action. 3) Prépare l'outil nécessaire. 4) Fais deux minutes de démarrage. 5) Note la suite sans obligation de finir.;Mitigé;Bureau;5;productivity
Zone zéro bazar 3;Crée une petite zone parfaitement claire.;Une action de rangement limitée qui donne une vraie satisfaction visuelle.;1) Choisis une zone très précise. 2) Retire tous les objets. 3) Nettoie rapidement. 4) Replace seulement deux ou trois éléments utiles. 5) Laisse le reste à trier plus tard.;À plat;Bureau;5;productivity
Top trois priorités 3;Clarifie ce qui compte vraiment maintenant.;Une activité mentale productive pour réduire le bruit intérieur.;1) Note toutes les tâches qui te viennent. 2) Choisis les trois plus importantes. 3) Classe-les par impact. 4) Découpe la première en action simple. 5) Garde cette action visible.;En forme;Extérieur;5;productivity
Nettoyage notifications 3;Réduis les interruptions inutiles de ton téléphone.;Une activité numérique qui aide directement à moins scroller.;1) Ouvre les réglages de notifications. 2) Choisis une application trop bruyante. 3) Coupe une notification inutile. 4) Répète avec deux autres apps. 5) Garde seulement l'utile.;Mitigé;Extérieur;5;productivity
Objet à sa place 3;Remets en place les objets qui traînent autour de toi.;Une action simple pour retrouver de l'ordre sans gros chantier.;1) Repère cinq objets déplacés. 2) Ramène chacun à son vrai emplacement. 3) Jette ce qui n'a plus d'utilité. 4) Nettoie la zone libérée. 5) Observe le gain d'espace.;À plat;Extérieur;5;productivity
Mini inventaire 3;Fais le point sur une catégorie d'objets que tu accumules.;Une activité de clarté pour éviter les doublons et les achats inutiles.;1) Choisis une catégorie comme câbles stylos carnets ou produits. 2) Regroupe ce qui est visible. 3) Compte rapidement. 4) Garde les meilleurs. 5) Mets les doublons à part.;En forme;Maison;5;productivity
Pause administrative 3;Traite une seule petite tâche administrative.;Une action courte pour éviter que les papiers deviennent une montagne.;1) Choisis une tâche simple. 2) Ouvre le document ou site nécessaire. 3) Complète seulement l'étape accessible. 4) Note ce qui bloque si besoin. 5) Range la preuve ou le document.;Mitigé;Maison;5;productivity
Nettoyage sac numérique 3;Allège ton téléphone comme tu viderais un sac.;Une activité digitale pour retirer l'inutile et calmer l'interface.;1) Supprime trois captures inutiles. 2) Ferme les applications ouvertes. 3) Retire un raccourci inutile. 4) Range une app dans un dossier. 5) Garde l'écran plus sobre.;À plat;Maison;5;productivity
Surface de départ 3;Prépare une zone pour commencer une activité utile ensuite.;Une mise en place qui réduit la friction avant une tâche.;1) Choisis l'activité à venir. 2) Prépare l'objet principal. 3) Retire ce qui gêne. 4) Mets l'outil au centre. 5) Laisse la zone prête à l'emploi.;En forme;Bureau;5;productivity
Décision rapide 3;Prends une petite décision que tu repousses.;Une activité pour fermer une boucle mentale sans gros effort.;1) Choisis une décision simple. 2) Note deux options maximum. 3) Choisis la plus réaliste. 4) Note la prochaine action. 5) Considère le sujet fermé pour l'instant.;Mitigé;Bureau;5;productivity
Tiroir complet;Vide et réorganise un tiroir entier sans chercher la perfection.;Un rangement concret qui transforme un petit espace en zone fonctionnelle.;1) Vide le tiroir choisi. 2) Nettoie rapidement le fond. 3) Crée trois piles garder jeter déplacer. 4) Replace les objets par familles. 5) Termine même si ce n'est pas parfait.;En forme;Maison;15;productivity
Plan de semaine;Prépare une vision simple de ta semaine.;Une activité de planification courte pour mieux prioriser.;1) Note les grands rendez-vous. 2) Liste trois priorités réalistes. 3) Place une tâche importante par jour. 4) Retire ce qui est secondaire. 5) Garde le plan visible.;Mitigé;Maison;15;productivity
Dossier ordinateur;Range un dossier numérique précis.;Une session utile pour retrouver plus facilement tes fichiers.;1) Choisis un seul dossier. 2) Supprime les fichiers inutiles. 3) Crée deux ou trois sous-dossiers. 4) Renomme les fichiers importants. 5) Vérifie que tout est plus clair.;À plat;Maison;15;productivity
Salle de bain ciblée;Rends un coin de salle de bain plus propre et pratique.;Un rangement court centré sur les produits visibles.;1) Regroupe les produits par usage. 2) Jette les emballages vides. 3) Nettoie une petite surface. 4) Range les objets rarement utilisés. 5) Garde les essentiels accessibles.;En forme;Bureau;15;productivity
Cuisine plan de travail;Libère un plan de travail pour retrouver de l'espace.;Une activité domestique concrète qui change vite la perception de la cuisine.;1) Retire tout ce qui n'appartient pas au plan. 2) Range les ustensiles visibles. 3) Jette les emballages inutiles. 4) Essuie la surface. 5) Laisse une zone libre.;Mitigé;Bureau;15;productivity
Tri applications;Réduis le désordre sur ton téléphone.;Une activité numérique pour rendre ton smartphone moins stimulant.;1) Parcours tes applications. 2) Supprime celles que tu n'utilises plus. 3) Regroupe les outils utiles. 4) Éloigne les apps trop tentantes. 5) Garde l'écran d'accueil plus calme.;À plat;Bureau;15;productivity
Budget express;Clarifie une petite partie de tes dépenses récentes.;Un contrôle rapide pour reprendre conscience de ton argent.;1) Ouvre ton relevé ou application bancaire. 2) Regarde les dernières dépenses. 3) Repère une dépense inutile. 4) Note une action pour l'éviter. 5) Ferme sans analyser toute ta vie.;En forme;Extérieur;15;productivity
Penderie 10 pièces;Trie dix vêtements sans vider toute l'armoire.;Une activité simple pour avancer sans créer un gros chantier.;1) Sors dix vêtements. 2) Mets de côté ceux que tu portes vraiment. 3) Identifie ceux à laver donner ou réparer. 4) Replace le reste proprement. 5) Note une décision à prendre.;Mitigé;Extérieur;15;productivity
Documents importants;Regroupe tes documents essentiels au même endroit.;Une activité utile pour réduire le stress administratif.;1) Rassemble les papiers visibles importants. 2) Sépare identité logement travail santé. 3) Mets-les dans une pochette ou pile claire. 4) Jette les doublons évidents. 5) Note ce qu'il manque.;À plat;Extérieur;15;productivity
Routine matin;Construis une routine simple pour démarrer mieux.;Une activité de réflexion productive orientée action.;1) Note trois gestes utiles le matin. 2) Retire ce qui est irréaliste. 3) Choisis un ordre logique. 4) Prépare un élément dès maintenant. 5) Teste demain sans viser la perfection.;En forme;Maison;15;productivity
Préparation repas;Prépare une base alimentaire simple pour plus tard.;Une action courte pour faciliter un prochain repas.;1) Regarde ce que tu as. 2) Coupe ou prépare un ingrédient simple. 3) Range-le dans un contenant. 4) Nettoie la zone utilisée. 5) Note une idée de repas rapide.;Mitigé;Maison;15;productivity
Bureau pro net;Remets ton espace de travail en état de concentration.;Un reset de bureau plus complet pour reprendre avec un environnement clair.;1) Retire les objets personnels inutiles. 2) Classe les notes importantes. 3) Nettoie clavier souris ou surface. 4) Prépare le document ou outil prioritaire. 5) Ferme le reste.;À plat;Maison;15;productivity
Boîte mail priorités;Transforme une boîte mail confuse en trois actions claires.;Une activité numérique pour éviter la noyade d'informations.;1) Cherche les messages récents importants. 2) Archive le bruit évident. 3) Marque trois messages à traiter. 4) Réponds à un message très court. 5) Ferme la boîte.;En forme;Bureau;15;productivity
Coin entrée;Rends l'entrée plus accueillante et pratique.;Une activité de rangement visible pour améliorer le retour chez soi.;1) Range chaussures sacs ou manteaux. 2) Jette tickets et papiers inutiles. 3) Regroupe les clés ou accessoires. 4) Nettoie une petite surface. 5) Libère le passage.;Mitigé;Bureau;15;productivity
Objectif 7 jours;Choisis un objectif réaliste pour la semaine à venir.;Une activité de productivité personnelle simple et motivante.;1) Note une chose que tu veux améliorer. 2) Transforme-la en action mesurable. 3) Fixe un rythme réaliste. 4) Prévois le premier moment. 5) Note pourquoi ça compte.;À plat;Bureau;15;productivity
Photos album utile;Crée ou nettoie un album photo pratique.;Une activité numérique pour retrouver plus facilement des images importantes.;1) Choisis un thème utile. 2) Ajoute les meilleures photos. 3) Supprime les doublons évidents. 4) Renomme l'album clairement. 5) Arrête quand l'album est utilisable.;En forme;Extérieur;15;productivity
Table repas;Prépare une table propre pour le prochain repas ou travail.;Une activité qui transforme vite une zone partagée.;1) Débarrasse la table. 2) Mets chaque objet dans sa zone. 3) Essuie la surface. 4) Replace seulement l'utile. 5) Ajoute un élément agréable si disponible.;Mitigé;Extérieur;15;productivity
Liste courses;Prépare une liste de courses courte et réaliste.;Une activité utile pour éviter les achats impulsifs.;1) Regarde rapidement frigo et placards. 2) Note les manques essentiels. 3) Ajoute deux repas simples. 4) Retire les envies inutiles. 5) Classe par rayon si possible.;À plat;Extérieur;15;productivity
Mode focus;Prépare ton environnement pour 30 minutes de concentration.;Une activité de mise en condition sans commencer le gros travail.;1) Choisis une tâche prioritaire. 2) Ferme les distractions. 3) Prépare l'outil nécessaire. 4) Mets le téléphone loin. 5) Lance un minuteur pour la suite.;En forme;Maison;15;productivity
Rangement visible;Choisis une zone visible et rends-la plus propre.;Un mini-projet de rangement avec résultat immédiat.;1) Choisis une zone de moins d'un mètre. 2) Retire tout ce qui n'y appartient pas. 3) Nettoie rapidement. 4) Replace uniquement l'essentiel. 5) Prends une seconde pour observer le résultat.;Mitigé;Maison;15;productivity
Routine anti-procrastination;Transforme une tâche repoussée en première action très concrète.;Une activité pour sortir du blocage sans viser la performance.;1) Choisis une tâche que tu repousses. 2) Écris seulement la première action. 3) Prépare l'outil nécessaire. 4) Fais deux minutes de démarrage. 5) Note la suite sans obligation de finir.;À plat;Maison;15;productivity
Zone zéro bazar;Crée une petite zone parfaitement claire.;Une action de rangement limitée qui donne une vraie satisfaction visuelle.;1) Choisis une zone très précise. 2) Retire tous les objets. 3) Nettoie rapidement. 4) Replace seulement deux ou trois éléments utiles. 5) Laisse le reste à trier plus tard.;En forme;Bureau;15;productivity
Top trois priorités;Clarifie ce qui compte vraiment maintenant.;Une activité mentale productive pour réduire le bruit intérieur.;1) Note toutes les tâches qui te viennent. 2) Choisis les trois plus importantes. 3) Classe-les par impact. 4) Découpe la première en action simple. 5) Garde cette action visible.;Mitigé;Bureau;15;productivity
Nettoyage notifications;Réduis les interruptions inutiles de ton téléphone.;Une activité numérique qui aide directement à moins scroller.;1) Ouvre les réglages de notifications. 2) Choisis une application trop bruyante. 3) Coupe une notification inutile. 4) Répète avec deux autres apps. 5) Garde seulement l'utile.;À plat;Bureau;15;productivity
Objet à sa place;Remets en place les objets qui traînent autour de toi.;Une action simple pour retrouver de l'ordre sans gros chantier.;1) Repère cinq objets déplacés. 2) Ramène chacun à son vrai emplacement. 3) Jette ce qui n'a plus d'utilité. 4) Nettoie la zone libérée. 5) Observe le gain d'espace.;En forme;Extérieur;15;productivity
Mini inventaire;Fais le point sur une catégorie d'objets que tu accumules.;Une activité de clarté pour éviter les doublons et les achats inutiles.;1) Choisis une catégorie comme câbles stylos carnets ou produits. 2) Regroupe ce qui est visible. 3) Compte rapidement. 4) Garde les meilleurs. 5) Mets les doublons à part.;Mitigé;Extérieur;15;productivity
Pause administrative;Traite une seule petite tâche administrative.;Une action courte pour éviter que les papiers deviennent une montagne.;1) Choisis une tâche simple. 2) Ouvre le document ou site nécessaire. 3) Complète seulement l'étape accessible. 4) Note ce qui bloque si besoin. 5) Range la preuve ou le document.;À plat;Extérieur;15;productivity
Nettoyage sac numérique;Allège ton téléphone comme tu viderais un sac.;Une activité digitale pour retirer l'inutile et calmer l'interface.;1) Supprime trois captures inutiles. 2) Ferme les applications ouvertes. 3) Retire un raccourci inutile. 4) Range une app dans un dossier. 5) Garde l'écran plus sobre.;En forme;Maison;15;productivity
Surface de départ;Prépare une zone pour commencer une activité utile ensuite.;Une mise en place qui réduit la friction avant une tâche.;1) Choisis l'activité à venir. 2) Prépare l'objet principal. 3) Retire ce qui gêne. 4) Mets l'outil au centre. 5) Laisse la zone prête à l'emploi.;Mitigé;Maison;15;productivity
Décision rapide;Prends une petite décision que tu repousses.;Une activité pour fermer une boucle mentale sans gros effort.;1) Choisis une décision simple. 2) Note deux options maximum. 3) Choisis la plus réaliste. 4) Note la prochaine action. 5) Considère le sujet fermé pour l'instant.;À plat;Maison;15;productivity
Routine anti-procrastination 2;Transforme une tâche repoussée en première action très concrète.;Une activité pour sortir du blocage sans viser la performance.;1) Choisis une tâche que tu repousses. 2) Écris seulement la première action. 3) Prépare l'outil nécessaire. 4) Fais deux minutes de démarrage. 5) Note la suite sans obligation de finir.;En forme;Bureau;15;productivity
Zone zéro bazar 2;Crée une petite zone parfaitement claire.;Une action de rangement limitée qui donne une vraie satisfaction visuelle.;1) Choisis une zone très précise. 2) Retire tous les objets. 3) Nettoie rapidement. 4) Replace seulement deux ou trois éléments utiles. 5) Laisse le reste à trier plus tard.;Mitigé;Bureau;15;productivity
Top trois priorités 2;Clarifie ce qui compte vraiment maintenant.;Une activité mentale productive pour réduire le bruit intérieur.;1) Note toutes les tâches qui te viennent. 2) Choisis les trois plus importantes. 3) Classe-les par impact. 4) Découpe la première en action simple. 5) Garde cette action visible.;À plat;Bureau;15;productivity
Nettoyage notifications 2;Réduis les interruptions inutiles de ton téléphone.;Une activité numérique qui aide directement à moins scroller.;1) Ouvre les réglages de notifications. 2) Choisis une application trop bruyante. 3) Coupe une notification inutile. 4) Répète avec deux autres apps. 5) Garde seulement l'utile.;En forme;Extérieur;15;productivity
Objet à sa place 2;Remets en place les objets qui traînent autour de toi.;Une action simple pour retrouver de l'ordre sans gros chantier.;1) Repère cinq objets déplacés. 2) Ramène chacun à son vrai emplacement. 3) Jette ce qui n'a plus d'utilité. 4) Nettoie la zone libérée. 5) Observe le gain d'espace.;Mitigé;Extérieur;15;productivity
Mini inventaire 2;Fais le point sur une catégorie d'objets que tu accumules.;Une activité de clarté pour éviter les doublons et les achats inutiles.;1) Choisis une catégorie comme câbles stylos carnets ou produits. 2) Regroupe ce qui est visible. 3) Compte rapidement. 4) Garde les meilleurs. 5) Mets les doublons à part.;À plat;Extérieur;15;productivity
Pause administrative 2;Traite une seule petite tâche administrative.;Une action courte pour éviter que les papiers deviennent une montagne.;1) Choisis une tâche simple. 2) Ouvre le document ou site nécessaire. 3) Complète seulement l'étape accessible. 4) Note ce qui bloque si besoin. 5) Range la preuve ou le document.;En forme;Maison;15;productivity
Nettoyage sac numérique 2;Allège ton téléphone comme tu viderais un sac.;Une activité digitale pour retirer l'inutile et calmer l'interface.;1) Supprime trois captures inutiles. 2) Ferme les applications ouvertes. 3) Retire un raccourci inutile. 4) Range une app dans un dossier. 5) Garde l'écran plus sobre.;Mitigé;Maison;15;productivity
Surface de départ 2;Prépare une zone pour commencer une activité utile ensuite.;Une mise en place qui réduit la friction avant une tâche.;1) Choisis l'activité à venir. 2) Prépare l'objet principal. 3) Retire ce qui gêne. 4) Mets l'outil au centre. 5) Laisse la zone prête à l'emploi.;À plat;Maison;15;productivity
Décision rapide 2;Prends une petite décision que tu repousses.;Une activité pour fermer une boucle mentale sans gros effort.;1) Choisis une décision simple. 2) Note deux options maximum. 3) Choisis la plus réaliste. 4) Note la prochaine action. 5) Considère le sujet fermé pour l'instant.;En forme;Bureau;15;productivity
Routine anti-procrastination 3;Transforme une tâche repoussée en première action très concrète.;Une activité pour sortir du blocage sans viser la performance.;1) Choisis une tâche que tu repousses. 2) Écris seulement la première action. 3) Prépare l'outil nécessaire. 4) Fais deux minutes de démarrage. 5) Note la suite sans obligation de finir.;Mitigé;Bureau;15;productivity
Zone zéro bazar 3;Crée une petite zone parfaitement claire.;Une action de rangement limitée qui donne une vraie satisfaction visuelle.;1) Choisis une zone très précise. 2) Retire tous les objets. 3) Nettoie rapidement. 4) Replace seulement deux ou trois éléments utiles. 5) Laisse le reste à trier plus tard.;À plat;Bureau;15;productivity
Top trois priorités 3;Clarifie ce qui compte vraiment maintenant.;Une activité mentale productive pour réduire le bruit intérieur.;1) Note toutes les tâches qui te viennent. 2) Choisis les trois plus importantes. 3) Classe-les par impact. 4) Découpe la première en action simple. 5) Garde cette action visible.;En forme;Extérieur;15;productivity
