name;content;description;steps;mood;location;duration;image_key
Trace humaine;Photographie une présence sans montrer de personne.;Une activité narrative qui donne de la profondeur à une image simple.;1) Cherche un objet déplacé une chaise une tasse ou une marque. 2) Cadre le détail. 3) Laisse un peu de contexte. 4) Prends deux variantes. 5) Garde la plus évocatrice.;En forme;Bureau;5;photo
Composition centrale;Place un sujet au centre et rends l'image volontairement simple.;Un exercice de cadrage clair pour créer une photo lisible rapidement.;1) Choisis un sujet. 2) Place-le au centre. 3) Nettoie visuellement le fond. 4) Prends une photo stable. 5) Essaie une version encore plus épurée.;Mitigé;Bureau;5;photo
Bord de cadre;Utilise le bord de l'image comme élément de composition.;Un défi photo court pour sortir des cadrages automatiques.;1) Choisis un sujet simple. 2) Place-le près d'un bord du cadre. 3) Laisse de l'espace dans la direction opposée. 4) Prends la photo. 5) Compare avec une version centrée.;À plat;Bureau;5;photo
Ambiance météo;Capture l'ambiance du moment sans photographier forcément le ciel.;Un exercice pour traduire une atmosphère en image.;1) Observe la lumière actuelle. 2) Cherche un sujet qui correspond à cette ambiance. 3) Cadre simplement. 4) Prends trois essais. 5) Garde celui qui transmet le mieux le moment.;En forme;Extérieur;5;photo
Détail design;Photographie un détail qui pourrait inspirer un designer.;Une activité pertinente pour développer ton œil graphique.;1) Cherche motif forme couleur ou texture. 2) Cadre comme une référence visuelle. 3) Évite les éléments inutiles. 4) Prends la photo. 5) Imagine comment ce détail pourrait être réutilisé.;Mitigé;Extérieur;5;photo
Échelle trompeuse;Joue avec la taille apparente d'un objet.;Un exercice créatif pour rendre une scène ordinaire plus surprenante.;1) Choisis un petit objet. 2) Approche-le de l'objectif ou éloigne le décor. 3) Cadre pour tromper l'échelle. 4) Prends plusieurs essais. 5) Garde le plus amusant.;À plat;Extérieur;5;photo
Rythme visuel;Photographie une répétition de formes ou d'objets.;Un exercice graphique basé sur motifs et répétition.;1) Cherche une répétition comme chaises fenêtres pavés ou livres. 2) Cadre pour montrer le rythme. 3) Garde les lignes propres. 4) Prends la photo. 5) Essaie une version plus serrée.;En forme;Maison;5;photo
Image silencieuse;Compose une photo qui donne une impression de silence.;Une activité expressive qui privilégie l'espace et la sobriété.;1) Cherche un sujet calme. 2) Laisse du vide autour. 3) Évite les couleurs trop fortes. 4) Prends une photo stable. 5) Garde la plus apaisante.;Mitigé;Maison;5;photo
Duo d'objets;Photographie deux objets comme s'ils dialoguaient.;Une activité créative et narrative réalisable partout.;1) Choisis deux objets proches. 2) Place-les dans une relation visuelle. 3) Cadre simplement. 4) Prends deux variantes. 5) Choisis celle qui raconte le plus.;À plat;Maison;5;photo
Couleurs opposées 2;Photographie deux couleurs qui créent une tension visuelle.;Un exercice simple pour composer une image plus adulte et graphique.;1) Cherche deux couleurs opposées ou très différentes. 2) Place-les dans le même cadre. 3) Réduis les éléments parasites. 4) Prends plusieurs essais. 5) Garde l'image la plus lisible.;En forme;Bureau;5;photo
Trace humaine 2;Photographie une présence sans montrer de personne.;Une activité narrative qui donne de la profondeur à une image simple.;1) Cherche un objet déplacé une chaise une tasse ou une marque. 2) Cadre le détail. 3) Laisse un peu de contexte. 4) Prends deux variantes. 5) Garde la plus évocatrice.;Mitigé;Bureau;5;photo
Composition centrale 2;Place un sujet au centre et rends l'image volontairement simple.;Un exercice de cadrage clair pour créer une photo lisible rapidement.;1) Choisis un sujet. 2) Place-le au centre. 3) Nettoie visuellement le fond. 4) Prends une photo stable. 5) Essaie une version encore plus épurée.;À plat;Bureau;5;photo
Bord de cadre 2;Utilise le bord de l'image comme élément de composition.;Un défi photo court pour sortir des cadrages automatiques.;1) Choisis un sujet simple. 2) Place-le près d'un bord du cadre. 3) Laisse de l'espace dans la direction opposée. 4) Prends la photo. 5) Compare avec une version centrée.;En forme;Extérieur;5;photo
Ambiance météo 2;Capture l'ambiance du moment sans photographier forcément le ciel.;Un exercice pour traduire une atmosphère en image.;1) Observe la lumière actuelle. 2) Cherche un sujet qui correspond à cette ambiance. 3) Cadre simplement. 4) Prends trois essais. 5) Garde celui qui transmet le mieux le moment.;Mitigé;Extérieur;5;photo
Détail design 2;Photographie un détail qui pourrait inspirer un designer.;Une activité pertinente pour développer ton œil graphique.;1) Cherche motif forme couleur ou texture. 2) Cadre comme une référence visuelle. 3) Évite les éléments inutiles. 4) Prends la photo. 5) Imagine comment ce détail pourrait être réutilisé.;À plat;Extérieur;5;photo
Échelle trompeuse 2;Joue avec la taille apparente d'un objet.;Un exercice créatif pour rendre une scène ordinaire plus surprenante.;1) Choisis un petit objet. 2) Approche-le de l'objectif ou éloigne le décor. 3) Cadre pour tromper l'échelle. 4) Prends plusieurs essais. 5) Garde le plus amusant.;En forme;Maison;5;photo
Rythme visuel 2;Photographie une répétition de formes ou d'objets.;Un exercice graphique basé sur motifs et répétition.;1) Cherche une répétition comme chaises fenêtres pavés ou livres. 2) Cadre pour montrer le rythme. 3) Garde les lignes propres. 4) Prends la photo. 5) Essaie une version plus serrée.;Mitigé;Maison;5;photo
Image silencieuse 2;Compose une photo qui donne une impression de silence.;Une activité expressive qui privilégie l'espace et la sobriété.;1) Cherche un sujet calme. 2) Laisse du vide autour. 3) Évite les couleurs trop fortes. 4) Prends une photo stable. 5) Garde la plus apaisante.;À plat;Maison;5;photo
Duo d'objets 2;Photographie deux objets comme s'ils dialoguaient.;Une activité créative et narrative réalisable partout.;1) Choisis deux objets proches. 2) Place-les dans une relation visuelle. 3) Cadre simplement. 4) Prends deux variantes. 5) Choisis celle qui raconte le plus.;En forme;Bureau;5;photo
Couleurs opposées 3;Photographie deux couleurs qui créent une tension visuelle.;Un exercice simple pour composer une image plus adulte et graphique.;1) Cherche deux couleurs opposées ou très différentes. 2) Place-les dans le même cadre. 3) Réduis les éléments parasites. 4) Prends plusieurs essais. 5) Garde l'image la plus lisible.;Mitigé;Bureau;5;photo
Trace humaine 3;Photographie une présence sans montrer de personne.;Une activité narrative qui donne de la profondeur à une image simple.;1) Cherche un objet déplacé une chaise une tasse ou une marque. 2) Cadre le détail. 3) Laisse un peu de contexte. 4) Prends deux variantes. 5) Garde la plus évocatrice.;À plat;Bureau;5;photo
Composition centrale 3;Place un sujet au centre et rends l'image volontairement simple.;Un exercice de cadrage clair pour créer une photo lisible rapidement.;1) Choisis un sujet. 2) Place-le au centre. 3) Nettoie visuellement le fond. 4) Prends une photo stable. 5) Essaie une version encore plus épurée.;En forme;Extérieur;5;photo
Bord de cadre 3;Utilise le bord de l'image comme élément de composition.;Un défi photo court pour sortir des cadrages automatiques.;1) Choisis un sujet simple. 2) Place-le près d'un bord du cadre. 3) Laisse de l'espace dans la direction opposée. 4) Prends la photo. 5) Compare avec une version centrée.;Mitigé;Extérieur;5;photo
Ambiance météo 3;Capture l'ambiance du moment sans photographier forcément le ciel.;Un exercice pour traduire une atmosphère en image.;1) Observe la lumière actuelle. 2) Cherche un sujet qui correspond à cette ambiance. 3) Cadre simplement. 4) Prends trois essais. 5) Garde celui qui transmet le mieux le moment.;À plat;Extérieur;5;photo
Détail design 3;Photographie un détail qui pourrait inspirer un designer.;Une activité pertinente pour développer ton œil graphique.;1) Cherche motif forme couleur ou texture. 2) Cadre comme une référence visuelle. 3) Évite les éléments inutiles. 4) Prends la photo. 5) Imagine comment ce détail pourrait être réutilisé.;En forme;Maison;5;photo
Échelle trompeuse 3;Joue avec la taille apparente d'un objet.;Un exercice créatif pour rendre une scène ordinaire plus surprenante.;1) Choisis un petit objet. 2) Approche-le de l'objectif ou éloigne le décor. 3) Cadre pour tromper l'échelle. 4) Prends plusieurs essais. 5) Garde le plus amusant.;Mitigé;Maison;5;photo
Rythme visuel 3;Photographie une répétition de formes ou d'objets.;Un exercice graphique basé sur motifs et répétition.;1) Cherche une répétition comme chaises fenêtres pavés ou livres. 2) Cadre pour montrer le rythme. 3) Garde les lignes propres. 4) Prends la photo. 5) Essaie une version plus serrée.;À plat;Maison;5;photo
Image silencieuse 3;Compose une photo qui donne une impression de silence.;Une activité expressive qui privilégie l'espace et la sobriété.;1) Cherche un sujet calme. 2) Laisse du vide autour. 3) Évite les couleurs trop fortes. 4) Prends une photo stable. 5) Garde la plus apaisante.;En forme;Bureau;5;photo
Duo d'objets 3;Photographie deux objets comme s'ils dialoguaient.;Une activité créative et narrative réalisable partout.;1) Choisis deux objets proches. 2) Place-les dans une relation visuelle. 3) Cadre simplement. 4) Prends deux variantes. 5) Choisis celle qui raconte le plus.;Mitigé;Bureau;5;photo
Série couleur;Réalise une série de cinq photos autour d'une seule couleur.;Un mini-projet photo cohérent et facile à faire partout.;1) Choisis une couleur. 2) Trouve cinq sujets qui la contiennent. 3) Varie plans larges et détails. 4) Garde le même esprit de cadrage. 5) Sélectionne les trois meilleures images.;En forme;Maison;15;photo
Histoire en trois images;Raconte une petite histoire sans texte avec trois photos.;Une activité créative qui transforme ton environnement en narration.;1) Choisis une action simple. 2) Prends une image de départ. 3) Ajoute une image de transformation. 4) Termine par une image de résultat. 5) Vérifie que l'histoire se comprend.;Mitigé;Maison;15;photo
Reportage d'un lieu;Photographie un lieu comme si tu devais le présenter à quelqu'un.;Un exercice photo structuré entre vue d'ensemble et détails.;1) Prends une photo large du lieu. 2) Capture deux détails importants. 3) Photographiez un objet représentatif. 4) Cherche une lumière intéressante. 5) Garde cinq images maximum.;À plat;Maison;15;photo
Objets premium;Crée une mini-série d'objets banals photographiés comme des produits haut de gamme.;Un exercice de style utile pour travailler lumière et cadrage.;1) Choisis trois objets simples. 2) Nettoie rapidement le fond. 3) Cadre chaque objet avec soin. 4) Varie légèrement l'angle. 5) Garde la photo la plus élégante de chaque objet.;En forme;Bureau;15;photo
Noir et blanc mental;Prends cinq photos pensées pour fonctionner sans couleur.;Un exercice de composition basé sur formes contrastes et lumière.;1) Active le mode noir et blanc si disponible. 2) Cherche contraste et lignes. 3) Prends cinq images différentes. 4) Évite les sujets trop plats. 5) Sélectionne la plus forte.;Mitigé;Bureau;15;photo
Alphabet visuel;Trouve cinq lettres cachées dans ton environnement.;Une chasse photo adulte basée sur formes et typographie implicite.;1) Cherche des formes qui ressemblent à des lettres. 2) Cadre-les clairement. 3) Photographiez cinq lettres différentes. 4) Ne force pas la perfection. 5) Regroupe les images en mini-série.;À plat;Bureau;15;photo
Portrait d'objet;Fais le portrait d'un objet qui t'accompagne souvent.;Un exercice créatif pour donner une personnalité à un objet.;1) Choisis un objet personnel. 2) Trouve un fond simple. 3) Prends une photo large. 4) Prends deux détails. 5) Termine par l'angle qui raconte le mieux l'objet.;En forme;Extérieur;15;photo
Lumière fenêtre;Utilise une fenêtre comme source de lumière principale.;Un exercice rapide pour comprendre la lumière douce.;1) Place un objet près d'une fenêtre. 2) Éteins les lumières parasites si possible. 3) Cadre le sujet. 4) Tourne autour pour voir les ombres. 5) Prends trois variantes.;Mitigé;Extérieur;15;photo
Contrastes urbains;Capture cinq oppositions dans ton environnement.;Un mini-reportage autour des contrastes visuels ou symboliques.;1) Cherche ancien contre moderne ou propre contre usé. 2) Photographie cinq contrastes. 3) Varie les distances. 4) Garde les compositions simples. 5) Choisis le contraste le plus parlant.;À plat;Extérieur;15;photo
Collection textures;Crée une planche mentale de textures en cinq photos.;Un exercice utile pour développer un regard de designer.;1) Cherche bois métal tissu pierre papier ou verre. 2) Cadre serré. 3) Garde une distance similaire. 4) Prends cinq photos. 5) Compare les matières entre elles.;En forme;Maison;15;photo
Une émotion en images;Traduis une émotion en série photo courte.;Une activité expressive qui donne du sens à la prise de vue.;1) Choisis une émotion comme calme tension joie ou fatigue. 2) Cherche trois sujets qui l'évoquent. 3) Cadre avec cohérence. 4) Prends cinq photos. 5) Sélectionne la plus juste.;Mitigé;Maison;15;photo
Minimalisme photo;Compose cinq images avec le moins d'éléments possible.;Un défi visuel pour apprendre à simplifier.;1) Cherche un sujet isolé. 2) Laisse de l'espace vide. 3) Évite les arrière-plans chargés. 4) Prends cinq essais. 5) Garde l'image la plus silencieuse.;À plat;Maison;15;photo
Ombres en série;Réalise une série de photos uniquement autour des ombres.;Un exercice graphique qui fonctionne très bien avec peu de moyens.;1) Trouve une zone avec ombres visibles. 2) Capture une ombre nette. 3) Puis une ombre douce. 4) Cherche une ombre déformée. 5) Choisis trois images cohérentes.;En forme;Bureau;15;photo
Point de vue bas;Photographie ton environnement depuis un angle très bas.;Un exercice simple pour rendre un lieu familier plus spectaculaire.;1) Mets-toi accroupi ou baisse le téléphone. 2) Choisis trois sujets. 3) Prends une photo très basse pour chacun. 4) Fais attention à la stabilité. 5) Garde l'image la plus surprenante.;Mitigé;Bureau;15;photo
Objets alignés;Compose une image avec une série d'objets alignés.;Un exercice de rigueur visuelle et de composition.;1) Trouve plusieurs objets similaires. 2) Aligne-les ou repère un alignement existant. 3) Place-toi bien droit. 4) Prends une photo propre. 5) Essaie une variante plus dynamique.;À plat;Bureau;15;photo
Mini reportage bureau;Documente ton espace de travail en cinq images.;Une activité photo adaptée au bureau sans déranger personne.;1) Prends une vue générale discrète. 2) Capture un détail utile. 3) Photographiez une texture. 4) Ajoute un objet personnel si possible. 5) Termine par l'image qui résume l'ambiance.;En forme;Extérieur;15;photo
Photo sans visage;Raconte une présence humaine sans montrer de visage.;Un exercice narratif subtil et adulte.;1) Cherche mains chaussures objets ou traces d'activité. 2) Cadre sans visage. 3) Prends trois images différentes. 4) Ajoute un détail de contexte. 5) Choisis celle qui raconte le plus.;Mitigé;Extérieur;15;photo
Série diagonales;Crée une mini-série où les diagonales dominent la composition.;Un exercice dynamique pour sortir des cadrages trop plats.;1) Cherche escaliers routes câbles ombres ou objets inclinés. 2) Cadre en laissant la diagonale traverser l'image. 3) Prends cinq photos. 4) Varie les sujets. 5) Garde la plus énergique.;À plat;Extérieur;15;photo
Même sujet cinq façons;Photographie un seul sujet de cinq manières différentes.;Un exercice très efficace pour développer la créativité visuelle.;1) Choisis un sujet simple. 2) Fais un plan large. 3) Fais un détail. 4) Change l'angle. 5) Termine par une version plus abstraite.;En forme;Maison;15;photo
Palette du jour;Crée une mini-palette couleur avec cinq photos.;Une activité esthétique qui transforme l'environnement en inspiration.;1) Observe les couleurs autour de toi. 2) Photographiez cinq éléments harmonieux. 3) Évite les couleurs qui cassent la série. 4) Garde des cadrages simples. 5) Imagine la palette finale.;Mitigé;Maison;15;photo
Couleurs opposées;Photographie deux couleurs qui créent une tension visuelle.;Un exercice simple pour composer une image plus adulte et graphique.;1) Cherche deux couleurs opposées ou très différentes. 2) Place-les dans le même cadre. 3) Réduis les éléments parasites. 4) Prends plusieurs essais. 5) Garde l'image la plus lisible.;À plat;Maison;15;photo
Trace humaine;Photographie une présence sans montrer de personne.;Une activité narrative qui donne de la profondeur à une image simple.;1) Cherche un objet déplacé une chaise une tasse ou une marque. 2) Cadre le détail. 3) Laisse un peu de contexte. 4) Prends deux variantes. 5) Garde la plus évocatrice.;En forme;Bureau;15;photo
Composition centrale;Place un sujet au centre et rends l'image volontairement simple.;Un exercice de cadrage clair pour créer une photo lisible rapidement.;1) Choisis un sujet. 2) Place-le au centre. 3) Nettoie visuellement le fond. 4) Prends une photo stable. 5) Essaie une version encore plus épurée.;Mitigé;Bureau;15;photo
Bord de cadre;Utilise le bord de l'image comme élément de composition.;Un défi photo court pour sortir des cadrages automatiques.;1) Choisis un sujet simple. 2) Place-le près d'un bord du cadre. 3) Laisse de l'espace dans la direction opposée. 4) Prends la photo. 5) Compare avec une version centrée.;À plat;Bureau;15;photo
Ambiance météo;Capture l'ambiance du moment sans photographier forcément le ciel.;Un exercice pour traduire une atmosphère en image.;1) Observe la lumière actuelle. 2) Cherche un sujet qui correspond à cette ambiance. 3) Cadre simplement. 4) Prends trois essais. 5) Garde celui qui transmet le mieux le moment.;En forme;Extérieur;15;photo
Détail design;Photographie un détail qui pourrait inspirer un designer.;Une activité pertinente pour développer ton œil graphique.;1) Cherche motif forme couleur ou texture. 2) Cadre comme une référence visuelle. 3) Évite les éléments inutiles. 4) Prends la photo. 5) Imagine comment ce détail pourrait être réutilisé.;Mitigé;Extérieur;15;photo
Échelle trompeuse;Joue avec la taille apparente d'un objet.;Un exercice créatif pour rendre une scène ordinaire plus surprenante.;1) Choisis un petit objet. 2) Approche-le de l'objectif ou éloigne le décor. 3) Cadre pour tromper l'échelle. 4) Prends plusieurs essais. 5) Garde le plus amusant.;À plat;Extérieur;15;photo
Rythme visuel;Photographie une répétition de formes ou d'objets.;Un exercice graphique basé sur motifs et répétition.;1) Cherche une répétition comme chaises fenêtres pavés ou livres. 2) Cadre pour montrer le rythme. 3) Garde les lignes propres. 4) Prends la photo. 5) Essaie une version plus serrée.;En forme;Maison;15;photo
Image silencieuse;Compose une photo qui donne une impression de silence.;Une activité expressive qui privilégie l'espace et la sobriété.;1) Cherche un sujet calme. 2) Laisse du vide autour. 3) Évite les couleurs trop fortes. 4) Prends une photo stable. 5) Garde la plus apaisante.;Mitigé;Maison;15;photo
Duo d'objets;Photographie deux objets comme s'ils dialoguaient.;Une activité créative et narrative réalisable partout.;1) Choisis deux objets proches. 2) Place-les dans une relation visuelle. 3) Cadre simplement. 4) Prends deux variantes. 5) Choisis celle qui raconte le plus.;À plat;Maison;15;photo
Couleurs opposées 2;Photographie deux couleurs qui créent une tension visuelle.;Un exercice simple pour composer une image plus adulte et graphique.;1) Cherche deux couleurs opposées ou très différentes. 2) Place-les dans le même cadre. 3) Réduis les éléments parasites. 4) Prends plusieurs essais. 5) Garde l'image la plus lisible.;En forme;Bureau;15;photo
Trace humaine 2;Photographie une présence sans montrer de personne.;Une activité narrative qui donne de la profondeur à une image simple.;1) Cherche un objet déplacé une chaise une tasse ou une marque. 2) Cadre le détail. 3) Laisse un peu de contexte. 4) Prends deux variantes. 5) Garde la plus évocatrice.;Mitigé;Bureau;15;photo
Composition centrale 2;Place un sujet au centre et rends l'image volontairement simple.;Un exercice de cadrage clair pour créer une photo lisible rapidement.;1) Choisis un sujet. 2) Place-le au centre. 3) Nettoie visuellement le fond. 4) Prends une photo stable. 5) Essaie une version encore plus épurée.;À plat;Bureau;15;photo
Bord de cadre 2;Utilise le bord de l'image comme élément de composition.;Un défi photo court pour sortir des cadrages automatiques.;1) Choisis un sujet simple. 2) Place-le près d'un bord du cadre. 3) Laisse de l'espace dans la direction opposée. 4) Prends la photo. 5) Compare avec une version centrée.;En forme;Extérieur;15;photo
Ambiance météo 2;Capture l'ambiance du moment sans photographier forcément le ciel.;Un exercice pour traduire une atmosphère en image.;1) Observe la lumière actuelle. 2) Cherche un sujet qui correspond à cette ambiance. 3) Cadre simplement. 4) Prends trois essais. 5) Garde celui qui transmet le mieux le moment.;Mitigé;Extérieur;15;photo
Détail design 2;Photographie un détail qui pourrait inspirer un designer.;Une activité pertinente pour développer ton œil graphique.;1) Cherche motif forme couleur ou texture. 2) Cadre comme une référence visuelle. 3) Évite les éléments inutiles. 4) Prends la photo. 5) Imagine comment ce détail pourrait être réutilisé.;À plat;Extérieur;15;photo
Échelle trompeuse 2;Joue avec la taille apparente d'un objet.;Un exercice créatif pour rendre une scène ordinaire plus surprenante.;1) Choisis un petit objet. 2) Approche-le de l'objectif ou éloigne le décor. 3) Cadre pour tromper l'échelle. 4) Prends plusieurs essais. 5) Garde le plus amusant.;En forme;Maison;15;photo
Rythme visuel 2;Photographie une répétition de formes ou d'objets.;Un exercice graphique basé sur motifs et répétition.;1) Cherche une répétition comme chaises fenêtres pavés ou livres. 2) Cadre pour montrer le rythme. 3) Garde les lignes propres. 4) Prends la photo. 5) Essaie une version plus serrée.;Mitigé;Maison;15;photo
Image silencieuse 2;Compose une photo qui donne une impression de silence.;Une activité expressive qui privilégie l'espace et la sobriété.;1) Cherche un sujet calme. 2) Laisse du vide autour. 3) Évite les couleurs trop fortes. 4) Prends une photo stable. 5) Garde la plus apaisante.;À plat;Maison;15;photo
Duo d'objets 2;Photographie deux objets comme s'ils dialoguaient.;Une activité créative et narrative réalisable partout.;1) Choisis deux objets proches. 2) Place-les dans une relation visuelle. 3) Cadre simplement. 4) Prends deux variantes. 5) Choisis celle qui raconte le plus.;En forme;Bureau;15;photo
Couleurs opposées 3;Photographie deux couleurs qui créent une tension visuelle.;Un exercice simple pour composer une image plus adulte et graphique.;1) Cherche deux couleurs opposées ou très différentes. 2) Place-les dans le même cadre. 3) Réduis les éléments parasites. 4) Prends plusieurs essais. 5) Garde l'image la plus lisible.;Mitigé;Bureau;15;photo
Trace humaine 3;Photographie une présence sans montrer de personne.;Une activité narrative qui donne de la profondeur à une image simple.;1) Cherche un objet déplacé une chaise une tasse ou une marque. 2) Cadre le détail. 3) Laisse un peu de contexte. 4) Prends deux variantes. 5) Garde la plus évocatrice.;À plat;Bureau;15;photo
Composition centrale 3;Place un sujet au centre et rends l'image volontairement simple.;Un exercice de cadrage clair pour créer une photo lisible rapidement.;1) Choisis un sujet. 2) Place-le au centre. 3) Nettoie visuellement le fond. 4) Prends une photo stable. 5) Essaie une version encore plus épurée.;En forme;Extérieur;15;photo
Bord de cadre 3;Utilise le bord de l'image comme élément de composition.;Un défi photo court pour sortir des cadrages automatiques.;1) Choisis un sujet simple. 2) Place-le près d'un bord du cadre. 3) Laisse de l'espace dans la direction opposée. 4) Prends la photo. 5) Compare avec une version centrée.;Mitigé;Extérieur;15;photo
Ambiance météo 3;Capture l'ambiance du moment sans photographier forcément le ciel.;Un exercice pour traduire une atmosphère en image.;1) Observe la lumière actuelle. 2) Cherche un sujet qui correspond à cette ambiance. 3) Cadre simplement. 4) Prends trois essais. 5) Garde celui qui transmet le mieux le moment.;À plat;Extérieur;15;photo
